language,group,order_present,answers,order_prod,modality,chain,generation,training_time,testing_time,participant_id
de,n,"['kalt', 'Donner', 'langsam', 'leise', 'rennen']","['kalt', 'Gewitter', 'schleichen', 'leise', 'schnell']","['Donner', 'kalt', 'langsam', 'rennen', 'leise']",gesture,1,15,232.3571361000068,307.6551118000061,15.0
de,n,"['kalt', 'langsam', 'Donner', 'leise', 'rennen']","['frieren', 'laufen', 'Gewitter', 'stille', 'rennen']","['kalt', 'leise', 'langsam', 'rennen', 'Donner']",gesture,1,16,222.19706069999663,296.96701480000047,16.0
de,y,"['kalt', 'Donner', 'langsam', 'rennen', 'leise']","['kalt', 'bewegen', 'Gorilla', 'rennen', 'leise']","['rennen', 'leise', 'Donner', 'langsam', 'kalt']",gesture,1,17,317.97508519999974,423.51383359999454,17.0
de,n,"['langsam', 'kalt', 'leise', 'rennen', 'Donner']","['langsam', 'kalt', 'leise', 'rennen', 'jonglieren']","['langsam', 'leise', 'kalt', 'Donner', 'rennen']",gesture,1,18,198.8523584000068,249.0137702000065,18.0
de,n,"['Donner', 'langsam', 'kalt', 'leise', 'rennen']","['hinundher', 'bedächtigkeit', 'kälte', 'stille', 'schnell']","['rennen', 'kalt', 'Donner', 'langsam', 'leise']",gesture,1,19,279.14221000000543,376.7286197000067,19.0
de,n,"['langsam', 'Donner', 'rennen', 'leise', 'kalt']","['Ruhig', 'laut', 'rennen', 'Ruhig', 'kalt']","['langsam', 'kalt', 'leise', 'rennen', 'Donner']",gesture,1,20,241.4932415000076,307.478998000006,20.0
de,n,"['Donner', 'langsam', 'leise', 'rennen', 'kalt']","['Achso', 'Schlittschuhlaufen', 'leise', 'rennen', 'kalt']","['rennen', 'langsam', 'leise', 'Donner', 'kalt']",gesture,2,1,226.83691319999343,321.44736559999,21.0
de,n,"['langsam', 'Donner', 'leise', 'kalt', 'rennen']","['laufen', 'Überraschung', 'leise', 'kalt', 'schnell']","['rennen', 'Donner', 'kalt', 'langsam', 'leise']",gesture,2,2,215.4928552999918,309.4632400999981,22.0
de,n,"['leise', 'Donner', 'langsam', 'kalt', 'rennen']","['leise', 'Gefahr', 'gehen', 'kalt', 'schnell']","['rennen', 'kalt', 'langsam', 'Donner', 'leise']",gesture,2,3,194.02037759999803,253.74985940000624,23.0
de,n,"['rennen', 'langsam', 'Donner', 'leise', 'kalt']","['rennen', 'schwimmen', 'nein', 'leise', 'kalt']","['Donner', 'rennen', 'leise', 'langsam', 'kalt']",gesture,2,4,147.3154738999874,227.74922949999743,24.0
en,n,"['slow', 'cold', 'thunderstorm', 'silent', 'to run']","['skating', 'freezing', 'defending', 'quiet', 'fast']","['thunderstorm', 'slow', 'cold', 'to run', 'silent']",gesture,2,5,339.5913922000036,450.5701510999934,25.0
de,n,"['leise', 'kalt', 'Donner', 'rennen', 'langsam']","['Nase', 'kalt', 'Hoch', 'rennen', 'langsam']","['kalt', 'rennen', 'leise', 'Donner', 'langsam']",gesture,2,6,251.41355369999656,324.75943899998674,26.0
de,y,"['Donner', 'rennen', 'langsam', 'kalt', 'leise']","['Kraft', 'rennen', 'gehen', 'kalt', 'Stille']","['kalt', 'rennen', 'langsam', 'Donner', 'leise']",gesture,2,7,244.2135347000003,345.92784079999547,27.0
de,n,"['rennen', 'langsam', 'Donner', 'kalt', 'leise']","['joggen', 'tanzen', 'abwehren', 'kalt', 'leise']","['leise', 'kalt', 'langsam', 'rennen', 'Donner']",gesture,2,8,279.68620199999714,375.1925978000072,28.0
de,n,"['kalt', 'rennen', 'Donner', 'leise', 'langsam']","['kalt', 'schnell', 'geschafft', 'leise', 'ahnungslos']","['rennen', 'langsam', 'kalt', 'leise', 'Donner']",gesture,2,9,247.3175571000029,317.23930400000245,29.0
de,n,"['Donner', 'langsam', 'rennen', 'kalt', 'leise']","['ängstlich', 'schleichen', 'rennen', 'frieren', 'leise']","['langsam', 'rennen', 'Donner', 'leise', 'kalt']",gesture,2,10,207.25258509999549,289.2706480000052,30.0
de,n,"['Donner', 'rennen', 'leise', 'kalt', 'langsam']","['Achtung', 'rennen', 'leise', 'kalt', 'Mücke']","['langsam', 'rennen', 'Donner', 'kalt', 'leise']",gesture,2,11,217.3968466999941,290.2147404999996,31.0
de,n,"['rennen', 'kalt', 'leise', 'langsam', 'Donner']","['laufen', 'kalt', 'leise', 'Vorsichtig', 'Lärm']","['Donner', 'langsam', 'rennen', 'kalt', 'leise']",gesture,2,12,245.41400570000403,302.5031680999964,32.0
de,n,"['rennen', 'leise', 'kalt', 'langsam', 'Donner']","['losrennen', 'schweigen', 'lshiftkälte', 'Vorsicht', 'Kopfschmerzen']","['kalt', 'Donner', 'leise', 'rennen', 'langsam']",gesture,2,13,238.2294125000044,306.9352005999972,33.0
de,y,"['rennen', 'leise', 'kalt', 'langsam', 'Donner']","['laufen', 'Stille', 'kalt', 'schleichen', 'denken']","['kalt', 'leise', 'langsam', 'Donner', 'rennen']",gesture,2,14,177.45992799999658,245.333790299992,34.0
de,y,"['rennen', 'kalt', 'langsam', 'leise', 'Donner']","['gehen', 'kalt', 'tragen', 'leise', 'nein']","['leise', 'kalt', 'langsam', 'rennen', 'Donner']",gesture,2,15,240.8534987000021,310.7433614000038,35.0
de,y,"['leise', 'kalt', 'rennen', 'Donner', 'langsam']","['denken', 'kalt', 'rennen', 'Regen', 'langsam']","['Donner', 'rennen', 'kalt', 'leise', 'langsam']",gesture,2,16,191.46044209999675,254.87003910000203,36.0
