participantID,generation_number,chain_number,chainID,event,age,extrovert,TotalLanguages,Gender,NumOfNativeLanguages,diff_in_age,diff_in_extrovert,diff_in_gender,diff_in_TotalNativeLanguages,diff_in_TotalLanguages,total_dist_Donner,total_dist_kalt,total_dist_rennen,total_dist_leise,total_dist_langsam
79,19,1,ch1g19,nijmegen,54.0,41.0,3.0,,,16,3,,,,372.44954154808426,1004.337259637785,773.2233448233455,1559.5794388595962,359.7971546153757
80,20,1,ch1g20,nijmegen,36.0,82.0,2.0,,,18,41,,,1,913.4472466198808,1566.974373100872,404.638538723659,4.3390693985561235,797.0696405408693
81,,,,,,,,,,,,,,,,,,,
82,2,2,ch2g2,nijmegen,32.0,91.0,5.0,,,8,51,,,2,7.839467440776832,2092.470414454314,334.47047245640056,545.6164221369213,592.7759226349668
83,3,2,ch2g3,nijmegen,40.0,60.0,3.0,,,8,31,,,2,1182.097102705755,1987.120444598489,296.04017382315635,1232.6296767414492,857.1707168226926
84,4,2,ch2g4,nijmegen,42.0,59.0,3.0,,,2,1,,,0,712.473263949285,2735.3917811923434,235.90966933998692,1985.9774668938103,481.67496286576306
85,5,2,ch2g5,nijmegen,33.0,72.0,3.0,,,9,13,,,0,395.94678832242226,1375.1573489530724,260.9473144863281,1490.12751718543,572.7006714404614
86,6,2,ch2g6,nijmegen,52.0,83.0,1.0,,,19,11,,,2,999.9193888184982,1204.5109001524654,282.83953921762065,956.9174873627178,730.4107797169743
87,7,2,ch2g7,nijmegen,40.0,70.0,4.0,,,12,13,,,3,801.2767027999096,528.5524301130516,264.5095433762286,926.7327930111496,530.3775730616313
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,
