participantID,generation_number,chain_number,chainID,event,age,extrovert,TotalLanguages,Gender,NumOfNativeLanguages,diff_in_age,diff_in_extrovert,diff_in_gender,diff_in_TotalNativeLanguages,diff_in_TotalLanguages,total_dist_Donner,total_dist_kalt,total_dist_rennen,total_dist_leise,total_dist_langsam
0,,,,,,,,,,,,,,,,,,,
1,1,1,ch1g1,lndw,26.0,40.0,3.0,Woman / Weiblich,1.0,,,,,,371.5898585467376,63.48388901268158,113.89238789630294,916.667480850146,510.70815524929714
2,2,1,ch1g2,lndw,24.0,17.0,7.0,Prefer not to say / Keine Angabe,1.0,2,23,1,0,4,351.31006740892997,1320.5656916559965,344.068568827273,891.6676511180813,492.25557071604175
3,3,1,ch1g3,lndw,32.0,60.0,3.0,Woman / Weiblich,1.0,8,43,1,0,4,856.3940372539807,1222.207599808875,104.14373128279044,347.2113115269286,468.0600295584435
4,4,1,ch1g4,lndw,60.0,86.0,3.0,Woman / Weiblich,1.0,28,26,0,0,0,241.74292767130456,364.3753761069363,153.56222542075847,1065.792715700932,459.3010844584199
5,5,1,ch1g5,lndw,59.0,66.0,2.0,Man / Männlich,1.0,1,20,1,0,1,903.1943590961188,1417.8321814937876,297.5481306175708,916.2021655343196,521.2455417357353
6,6,1,ch1g6,lndw,24.0,71.0,3.0,Woman / Weiblich,1.0,35,5,1,0,1,869.4949108675078,319.32210381984686,303.5345240154566,4.2456309553054945,466.0079560040189
7,7,1,ch1g7,lndw,50.0,40.0,2.0,Woman / Weiblich,1.0,26,31,0,0,1,774.5310530411299,1044.0596848630714,236.07702457830905,2066.6669264213097,264.8765315649727
8,8,1,ch1g8,lndw,24.0,54.0,5.0,Woman / Weiblich,4.0,26,14,0,3,3,87.84641957439433,1267.2158557205662,366.5109510356128,2066.6722523294275,757.6889552937728
9,9,1,ch1g9,lndw,58.0,50.0,1.0,Woman / Weiblich,1.0,34,4,0,3,4,307.5403107199539,682.2067878229683,547.3747095972166,4.69879516258218,204.73451067851937
10,10,1,ch1g10,lndw,25.0,70.0,3.0,Man / Männlich,1.0,33,20,1,0,2,191.57274337250513,1831.9193647367265,372.7872728946194,6.846247044912542,611.2822783206864
11,11,1,ch1g11,lndw,25.0,76.0,4.0,Woman / Weiblich,1.0,0,6,1,0,1,441.11782162035865,593.0430381394762,271.456217023889,1.4149426832162029,884.8022065814175
12,12,1,ch1g12,lndw,25.0,55.0,4.0,Man / Männlich,1.0,0,21,1,0,0,469.69004891851694,1551.4174522215776,115.16851132660024,1016.6678295959528,728.6380625631192
13,13,1,ch1g13,lndw,10.0,50.0,2.0,Woman / Weiblich,1.0,15,5,1,0,2,573.9985510275911,2212.546800711422,173.5238158217116,1016.6672009104904,548.324246332876
14,14,1,ch1g14,lndw,11.0,40.0,2.0,Man / Männlich,1.0,1,10,1,0,0,844.7992990739417,546.8904672076911,190.1263877850234,0.8073798424409416,1056.030552053723
15,15,1,ch1g15,lndw,44.0,70.0,5.0,Woman / Weiblich,1.0,33,30,1,0,3,117.38347999976205,2273.595817002035,130.97151011767778,1.132684227631512,388.4521032474434
16,16,1,ch1g16,lndw,27.0,30.0,2.0,Man / Männlich,1.0,17,40,1,0,3,394.00214639330574,2412.710750731688,1094.484567565658,491.6913639664669,216.7755263093348
17,17,1,ch1g17,lndw,,,,,,,,,,,545.6519156604286,949.4620502973298,1261.8686028174798,491.6923527170389,394.99981574169874
18,18,1,ch1g18,lndw,19.0,64.0,2.0,Woman / Weiblich,1.0,,,,,,82.10575259606051,4.3891668994982105,486.16898527685777,6.661215564619581,1599.446979407384
19,19,1,ch1g19,lndw,57.0,39.0,2.0,Woman / Weiblich,1.0,38,25,0,0,0,554.5968722189945,969.7836291229588,452.63358646681337,1418.2919822105946,844.1703174590365
20,20,1,ch1g20,lndw,,,,,,,,,,,492.941454148788,969.7997816728104,446.7909103523479,676.6960963265359,562.8966940151043
21,1,2,ch2g1,lndw,22.0,50.0,3.0,,1.0,,,,,,307.24782468330267,2967.2785088865026,,242.387657340679,917.2063365052204
22,2,2,ch2g2,lndw,59.0,69.0,3.0,Woman / Weiblich,1.0,37,19,1,0,0,1298.974488540514,410.9121719769236,295.1760408686517,1514.9581512689333,573.2091166389115
23,3,2,ch2g3,lndw,35.0,43.0,4.0,Woman / Weiblich,1.0,24,26,0,0,1,,1026.8730616546563,205.0741709099795,1211.8991739636808,473.03173923511434
24,4,2,ch2g4,lndw,66.0,60.0,5.0,Woman / Weiblich,1.0,31,17,0,0,1,,1342.3515306758989,633.0592736281245,222.694519411086,1661.099806767551
25,5,2,ch2g5,lndw,33.0,80.0,2.0,Man / Männlich,1.0,33,20,1,0,3,3348.4892661948825,1592.1696661876424,986.6894766827928,67.2436633888745,1515.8959943307125
26,6,2,ch2g6,lndw,,,,,,,,,,,1197.8258226749087,441.6781762433328,147.06328924141602,874.500204840294,470.3484593948605
27,7,2,ch2g7,lndw,13.0,73.0,5.0,,2.0,,,,,,598.1803901209602,,821.640122255469,683.6236097499108,958.5785105446988
28,8,2,ch2g8,lndw,80.0,80.0,1.0,Woman / Weiblich,1.0,67,7,0,1,4,602.6351844654913,,751.4716880939869,683.6227430716077,
29,9,2,ch2g9,lndw,69.0,45.0,4.0,Woman / Weiblich,1.0,11,35,0,0,3,893.4924336030181,1685.379526150619,114.42788989570889,1173.8547253839895,
30,10,2,ch2g10,lndw,45.0,51.0,2.0,Woman / Weiblich,1.0,24,6,0,0,2,839.8903198750627,2509.861464442226,285.7408042726793,1173.8511938476363,1784.7691572947165
31,11,2,ch2g11,lndw,36.0,12.0,5.0,Woman / Weiblich,1.0,9,39,0,0,3,1132.7242082146536,1678.8999619812648,270.87289969074345,1033.5914690597867,1872.693556700943
32,12,2,ch2g12,lndw,24.0,41.0,4.0,Woman / Weiblich,1.0,12,29,0,0,1,826.1822650392565,1158.0303623800755,207.5221654790891,1033.5892027026753,1079.290544533426
33,13,2,ch2g13,lndw,55.0,80.0,2.0,Man / Männlich,1.0,31,39,1,0,2,824.1085454602977,1538.913523096552,315.5155160791509,1169.1103012526569,524.7274910795779
34,14,2,ch2g14,lndw,14.0,61.0,5.0,Man / Männlich,3.0,41,19,0,2,3,1087.1421661690167,1218.9385334116073,289.49088487959983,960.0141763713772,799.5423347281017
35,15,2,ch2g15,lndw,15.0,43.0,4.0,Man / Männlich,2.0,1,18,0,1,1,1240.620268040242,2139.278128907579,419.7131991497481,1012.3345838806932,448.55207824192667
36,16,2,ch2g16,lndw,15.0,45.0,3.0,Man / Männlich,1.0,0,2,0,1,1,475.5549498556477,2160.801530024939,631.6441132923806,1457.9103899920474,549.4247197225199
37,17,2,ch2g17,lndw,52.0,74.0,3.0,Woman / Weiblich,2.0,37,29,1,1,0,742.420148880315,2863.632236029628,588.512897190566,2433.3339991162975,386.6558006697541
38,18,2,ch2g18,lndw,9.0,48.0,2.0,Woman / Weiblich,1.0,43,26,0,1,1,275.42784975492356,1567.9891674709002,454.1248272245754,2433.3424833847916,345.9894885852145
39,19,2,ch2g19,lndw,39.0,41.0,3.0,Woman / Weiblich,1.0,30,7,0,0,1,540.551008942299,609.4858530649756,497.4640153343396,882.0403610182818,
40,20,2,ch2g20,lndw,,,,,,,,,,,291.17652274962944,691.7251339035946,352.1816662046769,854.1744997552169,
41,1,3,ch3g1,lndw,29.0,50.0,3.0,,1.0,,,,,,360.2234863806063,1015.9835469640842,,916.6679413813772,181.0219811644554
42,2,3,ch3g2,lndw,35.0,30.0,4.0,Man / Männlich,2.0,6,20,1,1,1,250.31247428725757,1073.4820392109757,72.75921270013679,0.4510864681145755,288.1121037086959
43,3,3,ch3g3,lndw,41.0,73.0,5.0,Woman / Weiblich,1.0,6,43,1,1,1,130.84774938335644,725.0021818865201,151.65386117209474,1.869640839611308,328.6149746850132
44,4,3,ch3g4,lndw,28.0,46.0,5.0,Woman / Weiblich,1.0,13,27,0,0,0,373.4022905886653,1096.761808080552,313.77426905912034,1072.935030934464,1122.3187479400226
45,5,3,ch3g5,lndw,43.0,50.0,4.0,Woman / Weiblich,1.0,15,4,0,0,1,219.32175319298145,3350.6069358016484,304.86624961613984,1157.8644686540565,824.3436003591507
46,6,3,ch3g6,lndw,26.0,75.0,3.0,Woman / Weiblich,1.0,17,25,0,0,1,786.6320245537071,2541.269094349147,198.00723567161475,1865.5721587586693,1226.4791635687684
47,7,3,ch3g7,lndw,23.0,62.0,3.0,Woman / Weiblich,1.0,3,13,0,0,0,389.7878389804751,2036.571567987068,173.1264086728367,1183.684521061941,819.087879133961
48,8,3,ch3g8,lndw,28.0,28.0,1.0,Woman / Weiblich,1.0,5,34,0,0,2,368.6096783065832,1731.831077307874,399.89034334551457,615.0022502426317,414.1410765537591
49,9,3,ch3g9,lndw,50.0,80.0,3.0,Man / Männlich,1.0,22,52,1,0,2,768.8200048339521,1341.7777328287636,370.47726034754646,2422.4672537912816,736.4733840285821
50,10,3,ch3g10,lndw,62.0,75.0,2.0,Man / Männlich,1.0,12,5,0,0,1,1308.2015064447276,1068.0742329875711,634.7351698781537,2507.923452245611,457.91529572636136
51,11,3,ch3g11,lndw,21.0,60.0,2.0,Man / Männlich,1.0,41,15,0,0,0,234.26571639010305,1068.0735013282615,155.2154520074453,916.5560603157518,2243.942914926044
52,12,3,ch3g12,lndw,21.0,53.0,3.0,Man / Männlich,1.0,0,7,0,0,1,517.0229960414251,2869.7307739015573,470.575436745324,916.5535798158264,3029.1551357583644
53,13,3,ch3g13,lndw,32.0,50.0,3.0,Woman / Weiblich,1.0,11,3,1,0,0,270.06001009036896,1346.7654491267024,421.7259716932957,808.3340887194295,633.3935977496112
54,14,3,ch3g14,lndw,26.0,70.0,2.0,Non-binary / Nicht-binär,1.0,6,20,1,0,1,421.4400980622099,252.29792998077,68.57695501274998,1067.9526954372675,233.7272291640138
55,15,3,ch3g15,lndw,20.0,30.0,4.0,Woman / Weiblich,2.0,6,40,1,1,2,549.9507373523439,1363.9588652935342,169.57026513517854,697.9392596764252,479.930851365672
56,16,3,ch3g16,lndw,21.0,80.0,2.0,Man / Männlich,2.0,1,50,1,0,2,415.2607139645675,693.7077371860753,241.25228640070816,2682.006008625211,1146.155512084831
57,17,3,ch3g17,lndw,50.0,30.0,2.0,Woman / Weiblich,1.0,29,50,1,1,0,212.56423189356815,2243.8471332346467,334.13680340426555,2682.006382996905,926.9890760203276
58,18,3,ch3g18,lndw,28.0,60.0,2.0,Man / Männlich,1.0,22,30,1,0,0,1240.030303709145,1741.4208073818825,47.18865236894187,1250.0005093186978,449.4170787785981
59,19,3,ch3g19,lndw,27.0,40.0,3.0,Woman / Weiblich,1.0,1,20,1,0,1,930.024303782164,2750.31508183877,35.17991904863585,1268.8295002994598,815.710493767941
60,20,3,ch3g20,lndw,35.0,85.0,2.0,Man / Männlich,1.0,8,45,1,0,1,552.7334731536425,0.9701839129454982,71.04710608329327,217.7847578971368,448.0131575901137
61,,,,,,,,,,,,,,,,,,,
62,2,1,ch1g2,nijmegen,71.0,68.0,4.0,,,44,27,,,1,311.8433676064129,1727.9045894969963,456.16349482927774,1217.797103096765,524.7340950543966
63,3,1,ch1g3,nijmegen,67.0,80.0,3.0,,,4,12,,,1,362.2366078940536,1911.5864228447872,281.9562831871497,1217.7981284381317,723.6078196942562
64,4,1,ch1g4,nijmegen,28.0,28.0,4.0,,,39,52,,,1,312.85366549355905,764.9196072995524,240.1973211582842,1475.000553603972,524.1237055022473
65,5,1,ch1g5,nijmegen,25.0,71.0,4.0,,,3,43,,,0,380.84940774129296,976.9536976043996,189.61116606518877,466.6691499576352,435.8210358921029
66,6,1,ch1g6,nijmegen,25.0,,,,,0,,,,,1129.9826903336304,765.7891997023443,588.943364477925,1008.3610034778244,103.13064507165517
67,7,1,ch1g7,nijmegen,33.0,81.0,2.0,,,8,,,,,579.3245901166646,910.506485804666,274.983175989414,907.2397685367472,300.3095707675513
68,8,1,ch1g8,nijmegen,33.0,39.0,5.0,,,0,42,,,3,285.00747678649276,1.2596245967180713,280.8201274776961,907.2093293237872,200.9965206352804
69,9,1,ch1g9,nijmegen,33.0,25.0,3.0,,,0,14,,,2,21.84474888929767,3215.8101146193735,174.64375895345307,1.3167777640103862,330.2012872640489
70,10,1,ch1g10,nijmegen,53.0,81.0,5.0,,,20,56,,,2,225.61361177228463,2488.469339596426,346.6716235289528,1.4637663155833025,433.3146016957768
71,11,1,ch1g11,nijmegen,23.0,39.0,5.0,,,30,42,,,0,584.7789237418269,2096.801728888789,617.5801777060974,1.6525378485098132,229.7892599495254
72,12,1,ch1g12,nijmegen,35.0,60.0,2.0,,,12,21,,,3,1382.1914657356713,2260.081843370917,640.5385840689447,1408.3341453689911,284.2413624448324
73,13,1,ch1g13,nijmegen,67.0,84.0,4.0,,,32,24,,,2,526.0915394436634,1.7737925220228452,174.59443843639792,1408.3369211397817,637.3574522785827
74,14,1,ch1g14,nijmegen,8.0,50.0,3.0,,,59,34,,,1,318.7920284240845,353.3978564267656,199.84490921591183,416.80671306540745,218.582312110523
75,15,1,ch1g15,nijmegen,26.0,30.0,5.0,,,18,20,,,2,634.9346762541827,1076.7250223175065,169.99470448270733,416.811108091911,316.86390737239617
76,16,1,ch1g16,nijmegen,23.0,35.0,4.0,,,3,5,,,1,372.56340013193915,1207.9466108565791,279.10220489604575,1574.8739934404634,1791.2319672515073
77,17,1,ch1g17,nijmegen,60.0,40.0,4.0,,,37,5,,,0,192.01104185854027,1791.016819775361,1106.936272808984,1137.0816387856942,1418.5224409586074
78,18,1,ch1g18,nijmegen,38.0,38.0,,,,22,2,,,,465.5001904642424,687.6373356007134,663.4594069934656,234.58228648653716,585.0787621376053
