participantID,Age,Gender,NumOfNativeLanguages,TotalLanguages,event,Extroversion,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,total_gesture_space2D,total_body_entropy2Daggregated,total_body_variability2Daggregated,total_body_boundingbox2D,total_body_intermittency,total_time,X_embeddings,Y_embeddings,total_distance,diff_in_gesture_space,diff_in_entropy,diff_in_variability,diff_in_bounding_box,diff_in_intermittency,diff_in_time,diff_in_age,diff_in_extrovet,diff_in_gender,diff_in_TotalLanguages,diff_in_TotalNativeLanguages,Age_category,Extrovert_category
23,35.0,Woman / Weiblich,1.0,4.0,lndw,43.0,Donner_g_ch2_g3_compr.mp4,ch2g3,4.0,2.0,Donner,Donner_g_ch2,1.5694181023636926,2.2460055503714194,1274.9999999999975,0.3200509942243415,0.3200509942243415,3783.333333333319,-33.24858,-2.735214,,,,,,,,24.0,26.0,0.0,1.0,0.0,Millenial,Introvert
0,,,,,lndw,,kalt_g_ch1_g0_compr.mp4,ch1g0,1.0,1.0,kalt,kalt_g_ch1,0.7198280564684681,2.2423981010354628,0.0,0.1134320043511285,0.1134320043511285,2683.333333333324,-32.465145,-2.9289632,,,,,,,,,,,,,,
16,27.0,Man / Männlich,1.0,2.0,lndw,30.0,Donner_g_ch1_g16_compr.mp4,ch1g16,17.0,1.0,Donner,Donner_g_ch1,1.0144304622988314,2.775162523945503,274.98729873244923,0.2945775169875498,0.2945775169875498,5966.66666666671,-33.3225,-2.5061858,6073.658649475411,0.0678872146808318,0.0202408760604497,3.5507909119674537,0.0376592604110765,0.0376592604110765,683.3333333333039,17.0,40.0,1.0,3.0,0.0,Gen_Z,Introvert
22,32.0,Man / Man,,5.0,nijmegen,91.0,onweer_g_ch2_g2_compr.mp4,ch2g2,3.0,2.0,onweer,onweer_g_ch2,0.1181828819092439,2.65891842261202,0.0,0.2510732822852437,0.2510732822852437,2600.0000000000123,-26.49419,-2.4596481,6519.934559813365,1.1269989013094206,2.6188148722946765,1341.711955757352,0.1939960345953202,0.1939960345953202,899.9999999999955,37.0,19.0,1.0,0.0,0.0,GenX,Extrovert
30,45.0,Woman / Weiblich,1.0,2.0,lndw,51.0,kalt_g_ch2_g10_compr.mp4,ch2g10,11.0,2.0,kalt,kalt_g_ch2,0.8554975525168294,1.7912992759387554,1033.3333333333414,0.1612017956334796,0.1612017956334796,6583.333333333379,-34.973114,-2.9143624,7371.17448144312,0.1642855819600719,0.5893559027134432,1033.3333333333414,0.0106022224114848,0.0106022224114848,1583.3333333333412,24.0,6.0,0.0,2.0,0.0,GenX,
12,25.0,Man / Männlich,1.0,4.0,lndw,55.0,lndw_lndw_rennen_g_ch1_g12_compr.mp4,ch1g12,13.0,1.0,lndw_lndw_rennen,lndw_lndw_rennen_g_ch1,0.1457851198460273,2.785682688279008,221.82504188289423,0.0471142083437966,0.0471142083437966,3716.666666666653,-28.172415,-3.4093502,1456.431975683432,0.0286272849772779,0.0734207396140695,48.0115593839071,0.0102282116129037,0.0102282116129037,966.6666666666964,0.0,21.0,1.0,0.0,0.0,Gen_Z,
37,52.0,Woman / Weiblich,2.0,3.0,lndw,74.0,leise_g_ch2_g17_compr.mp4,ch2g17,18.0,2.0,leise,leise_g_ch2,0.2484734857766447,0.6582918100668019,2433.333333333336,0.0811323897503891,0.0811323897503891,5383.33333333335,-31.081753,-2.712083,3816.339229535956,0.1963269505013617,0.5786160663924461,2433.333333333336,0.0084917809322766,0.0084917809322766,1166.6666666666824,37.0,29.0,1.0,0.0,1.0,GenX,Extrovert
26,,Woman / Weiblich,,,lndw,,kalt_g_ch2_g6_compr.mp4,ch2g6,7.0,2.0,kalt,kalt_g_ch2,0.2939636176667317,2.2082270969631828,339.8236450563299,0.144502129670646,0.144502129670646,5300.0000000000355,-29.1946,-1.8303337,1763.7920300170283,0.393095047176637,1.2015937224702158,339.8236450563299,0.023230133167175,0.023230133167175,1183.3333333333358,,,,,,,
5,59.0,Man / Männlich,1.0,2.0,lndw,66.0,Donner_g_ch1_g5_compr.mp4,ch1g5,6.0,1.0,Donner,Donner_g_ch1,1.7867441984118162,2.1912362209421596,841.1714714875092,0.7137744275752944,0.7137744275752944,6116.6666666666915,-34.101616,-4.2343216,5758.685378124526,0.2223116479244553,0.6753303039750662,412.3690370520486,0.1412776310696843,0.1412776310696843,2833.333333333322,1.0,20.0,1.0,1.0,0.0,GenX,Extrovert
4,28.0,Woman / Vrouw,,4.0,nijmegen,28.0,onweer_g_ch1_g4_compr.mp4,ch1g4,5.0,1.0,onweer,onweer_g_ch1,0.0,2.4807305257058174,683.3333333333259,0.2713110795508305,0.2713110795508305,6066.666666666693,-34.63977,-2.66993,515.2356858643449,0.5524300802292468,0.0224261601866797,206.19474406191895,0.2707220073391255,0.2707220073391255,299.99999999997226,28.0,26.0,0.0,0.0,0.0,Baby_Boomer,Extrovert
16,27.0,Man / Männlich,1.0,2.0,lndw,30.0,lndw_lndw_rennen_g_ch1_g16_compr.mp4,ch1g16,17.0,1.0,lndw_lndw_rennen,lndw_lndw_rennen_g_ch1,0.0893799646347918,2.075745263757677,759.3371332579774,0.0207829883498059,0.0207829883498059,5600.000000000031,-33.02012,-2.3447304,1989.4240067657013,0.0218441532860694,0.7930653689085037,640.551790270833,0.0184695929713367,0.0184695929713367,1150.0000000000357,17.0,40.0,1.0,3.0,0.0,Gen_Z,Introvert
34,14.0,Man / Männlich,3.0,5.0,lndw,61.0,kalt_g_ch2_g14_compr.mp4,ch2g14,15.0,2.0,kalt,kalt_g_ch2,0.7642150935552475,1.7280339798725444,0.0,0.1568611903270532,0.1568611903270532,4366.666666666602,-34.368435,-3.5702512,1986.499918202059,0.2471144831253667,0.4443143696358465,0.0,0.0106063130033504,0.0106063130033504,749.9999999999313,41.0,19.0,0.0,3.0,2.0,Gen_Z,
8,33.0,Man / Man,,5.0,nijmegen,39.0,stil_g_ch1_g8_compr.mp4,ch1g8,9.0,1.0,stil,stil_g_ch1,0.0,1.6165312841077353,0.0,0.0825635473325684,0.0825635473325684,4150.00000000001,-32.917305,-2.0650072,3440.365182052228,0.0890567739514717,0.1359757218473963,2066.666666666664,0.0279061355860549,0.0279061355860549,1283.3333333333549,26.0,14.0,0.0,3.0,3.0,Gen_Z,
8,33.0,Man / Man,,5.0,nijmegen,39.0,nijmegen_nijmegen_rennen_g_ch1_g8_compr.mp4,ch1g8,9.0,1.0,nijmegen_nijmegen_rennen,nijmegen_nijmegen_rennen_g_ch1,0.0374444858707545,2.734913033408891,127.06346727739307,0.0932085936054089,0.0932085936054089,3183.3333333333258,-28.61375,-3.0780625,2002.057454928748,0.0475462628874328,0.067308341593721,184.5733854388301,0.0010854581461062,0.0010854581461062,1183.3333333333212,26.0,14.0,0.0,3.0,3.0,Gen_Z,
26,52.0,Woman / Vrouw,,1.0,nijmegen,83.0,onweer_g_ch2_g6_compr.mp4,ch2g6,7.0,2.0,onweer,onweer_g_ch2,0.4215691783397205,2.315043270608182,988.7189207083364,0.2050692642652525,0.2050692642652525,12366.66666666651,-35.09763,-3.4339917,4455.294346439125,0.285904956336839,0.0829681467771976,74.5694418589161,0.1246518867175581,0.1246518867175581,3216.666666666588,,,,,,,
12,25.0,Man / Männlich,1.0,4.0,lndw,55.0,Donner_g_ch1_g12_compr.mp4,ch1g12,13.0,1.0,Donner,Donner_g_ch1,1.3434636381539489,2.596368657959399,141.63943093313102,0.4963511417467761,0.4963511417467761,1066.666666666628,-33.49361,-3.8351235,3144.174635218672,0.0931401012953434,0.1094826661268584,188.3437336205911,0.0752527929533661,0.0752527929533661,2616.666666666725,0.0,21.0,1.0,0.0,0.0,Gen_Z,
4,60.0,Woman / Weiblich,1.0,3.0,lndw,86.0,kalt_g_ch1_g4_compr.mp4,ch1g4,5.0,1.0,kalt,kalt_g_ch1,0.8671340080860229,1.608788824115433,1255.2390210633157,0.1817675673073966,0.1817675673073966,6466.666666666696,-28.487286,-4.909472,6814.974681428826,0.3015098873467772,0.0991383021689398,88.26386319112112,0.0712887921729038,0.0712887921729038,3516.6666666667097,28.0,26.0,0.0,0.0,0.0,Baby_Boomer,Extrovert
27,13.0,Woman / Weiblich,2.0,5.0,lndw,73.0,Donner_g_ch2_g7_compr.mp4,ch2g7,8.0,2.0,Donner,Donner_g_ch2,1.3283598909878158,2.472790771819557,779.2446485040648,0.3454547357756224,0.3454547357756224,7916.666666666713,-29.01473,-4.086011,7208.068247213236,0.0129056666105582,0.1103918733822104,264.57421659143006,0.0295335336226943,0.0295335336226943,4833.333333333344,,,,,,Gen_Z,
1,26.0,Woman / Weiblich,1.0,3.0,lndw,40.0,Donner_g_ch1_g1_compr.mp4,ch1g1,2.0,1.0,Donner,Donner_g_ch1,0.99103267984894,2.916205961450928,375.00000000000045,0.2150396905367172,0.2150396905367172,2483.3333333333785,-34.344887,-5.350707,2810.4228993047755,0.3674098930077769,0.207234525829397,224.48647573173187,0.135633428875603,0.135633428875603,733.333333333283,,,,,,Gen_Z,Introvert
