participantID,generation_number,chain_number,chainID,age,extrovert,diff_in_age,diff_in_extrovert,diff_in_gesture_space_Donner,diff_in_entropy_Donner,diff_in_variability_Donner,diff_in_gesture_space_kalt,diff_in_entropy_kalt,diff_in_variability_kalt,diff_in_gesture_space_langsam,diff_in_entropy_langsam,diff_in_variability_langsam,diff_in_gesture_space_leise,diff_in_entropy_leise,diff_in_variability_leise,diff_in_gesture_space_rennen,diff_in_entropy_rennen,diff_in_variability_rennen,diff_in_gesture_space_mean,diff_in_entropy_mean,diff_in_variability_mean,total_dist_Donner,total_dist_kalt,total_dist_langsam,total_dist_leise,total_dist_rennen,total_dist_mean,gesture_space_rennen,entropy_rennen,variability_rennen,gesture_space_Donner,entropy_Donner,variability_Donner,gesture_space_kalt,entropy_kalt,variability_kalt,gesture_space_leise,entropy_leise,variability_leise,gesture_space_langsam,entropy_langsam,variability_langsam,gesture_space_mean,entropy_mean,variability_mean
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,ch1g1,26.0,40.0,,,0.737688118500669,1.860545163762867,0.1695247653739701,0.4354503935476486,0.06835538631037119,0.7218056826542455,0.7512020521083186,0.11408710504460429,0.12028714804011065,0.3187169178856537,0.033691309228077504,0.8509025697570909,0.19417567165860394,0.034040458679282626,0.03543139698586706,0.48744663074017874,0.4221438846050405,0.37959031256225684,13.148895465046849,1.577588883951702,2.444457487982001,2.1444102501421027,3.7938261709974,4.62183565162401,-0.9512190687578626,1.0548826713022337,-0.8301412837932554,0.49597008435110895,-0.8745277204197406,-0.5398469598186627,0.22471165423344816,-1.0123117835535922,-1.1191863245341958,-0.7966098358817317,-1.449773677581599,-1.1191863245341958,-0.8411000123171516,0.9589297460157052,-0.6933737130457507,-0.37364943567443776,-0.2645601528473986,-0.8603469211452122
2,2,1,ch1g2,24.0,17.0,2,23,0.27651292073143713,0.047161204191785044,0.3580792568283464,0.0033709828730328073,0.13444929619179025,3.1030999628240448,0.18979428416323474,0.02516582952827706,0.04102509478325267,0.10116271308743574,0.02892882951949538,0.0,0.06577323932000545,0.013628919561451625,0.11818034894796514,0.12732282803502917,0.04986681579855987,0.7240769326767218,1.4820855069033898,5.2851688081091135,0.7004199457106532,0.4035247831907315,0.3972038214121854,1.6536805730652149,-1.016992308077868,1.041253751740782,-0.7119609348452902,0.7724830050825461,-0.9216889246115256,-0.8979262166470091,0.22808263710648097,-1.1467610797453824,1.9839136382898492,-0.695447122794296,-1.4208448480621036,-1.1191863245341958,-0.6513057281539169,0.9337639164874282,-0.652348618262498,-0.2726359033674107,-0.30285543683816035,-0.2795016911998288
3,3,1,ch1g3,32.0,60.0,8,43,0.23172378736017607,1.9181694698021516,0.9148961727839474,0.748659900903788,0.10929595945856763,1.3162246168194023,0.22958635972281055,0.13999148575817155,0.11347687862588685,0.13076947020004814,0.13268093586689989,0.6526805669355298,0.5859957594763023,0.02498688234716462,0.18636390374542622,0.385347055532625,0.465024946646591,0.6367284277820385,12.63181132091682,2.5965072187814355,0.6275836916804726,2.357628102013238,1.0045541788526111,3.8436169024489155,-0.4309965486015656,1.0662406340879467,-0.8983248385907164,0.54075921772237,0.9964805451906261,0.016969956136938347,-0.5205772637973071,-1.0374651202868148,0.6676890214704471,-0.8262165929943441,-1.2881639121952038,-0.466505757598666,-0.4217193684311063,1.0737554022455997,-0.7658254968883849,-0.3317501112203906,0.16216950980843076,-0.28919942309407637
4,4,1,ch1g4,60.0,86.0,28,26,1.4589542338861894,0.06503310608340584,0.1875447642550175,0.6257010545014507,1.7379189738408747,0.1737389850022611,1.1800588547057702,0.1998250245286003,1.0258133928934883,0.014942747088604103,1.4802116847209776,0.006412855418599872,0.1592055987678731,0.10949271353669698,0.013691329230922977,0.6877724977899775,0.718496300542111,0.28144026536005795,2.690339237625549,12.206711823310386,3.9172554034333458,11.145116369615389,0.5407004000478215,6.100024646806498,-0.2717909498336925,0.9567479205512497,-0.9120161678216394,1.9997134516085593,1.061513651274032,-0.17057480811807915,0.10512379070414374,0.70045385355406,0.49395003646818597,-0.81127384590574,0.1920477725257739,-0.4729186130172659,0.7583394862746639,0.8739303777169994,0.25998789600510347,0.3560223865695869,0.756938715124423,-0.16031433129673903
5,5,1,ch1g5,59.0,66.0,1,20,0.26646641602612453,0.28415836303588826,1.437016408456905,0.40779048717168365,1.6366693892065696,1.1539624138458,0.34650578953344413,0.16217895760486367,0.6751512364933017,0.3948823927635885,1.7490188788740384,0.6462677115169299,0.26701820865704146,0.15110128678517332,0.29778441470051187,0.3365326588303764,0.7966253751013067,0.8420364370026897,2.391624895217318,11.565740099476963,1.2137339356722197,10.42285001100259,1.6336319415223584,5.44551617657829,-0.538809158490734,1.107849207336423,-0.6142317531211275,2.266179867634684,0.7773552882381437,1.266441600338826,-0.3026666964675399,-0.9362155356525095,-0.660012377377614,-1.2061562386693285,-1.5569711063482645,-1.1191863245341958,0.4118336967412197,1.0361093353218631,0.9351391324984052,0.12607629414966018,0.08562543777913116,-0.03836994443914123
6,6,1,ch1g6,24.0,71.0,35,5,1.5920767020178397,1.651074135611387,0.9723489589619962,1.1223259980087463,0.12210419056778099,0.5525937764280373,0.6631521578007681,0.05201894989663802,0.6016252332162573,0.1927813871101518,0.10433369826832406,0.0,0.06047139802357915,0.11630435097569813,0.14563984217557358,0.726161528592217,0.40916706506396566,0.45444156215637294,12.166147960509,1.9463234006015817,1.8066559213196356,1.9400764240493724,0.9639187640497132,3.7646244941058606,-0.5992805565143131,0.9915448563607249,-0.46859191094555397,0.6741031656168441,-0.8737188473732433,0.2940926413768296,-1.4249926944762863,-0.8141113450847285,-0.10741860094957671,-1.3989376257794803,-1.4526374080799405,-1.1191863245341958,-0.25131846105954836,0.9840903854252251,0.3335138992821479,-0.6000852344425568,-0.23296647175039248,-0.2135180591540698
7,7,1,ch1g7,50.0,40.0,26,31,0.19773452839351735,0.11430690826975265,0.6803227495518936,0.7891675800693619,0.24808405602300365,0.8518962810992352,0.2866627724017561,0.0945393204134174,0.5001593770585643,0.5493648869643881,0.04326433295806176,0.0,0.0009652205882854092,0.008504799278134967,0.06140062461645546,0.3647789976834618,0.10173988338847409,0.4187558064652297,1.3926036662910095,2.3532299960598064,1.653497649463221,0.66999991333273,2.789105662169838,1.771687377463321,-0.5983153359260277,1.0000496556388598,-0.5299925355620094,0.8718376940103615,-0.7594119391034907,-0.38623010817506404,-0.6358251144069244,-1.0621954011077321,0.7444776801496585,-0.8495727388150922,-1.4959017410380022,-1.1191863245341958,-0.5379812334613044,0.8895510650118077,0.8336732763407122,-0.34997134571979743,-0.2855816721197115,-0.09145160235617969
8,8,1,ch1g8,24.0,54.0,26,14,0.0976824585091498,0.05546809429787247,0.13130414739684032,0.06552889624168645,0.022404810717918888,0.6380750032468555,0.7661490449695473,0.04986340571058867,0.9351322498953434,0.1160673629798954,0.028899918894050414,1.8234943938587187,0.10391189268832979,0.019382045571714634,0.356697808139921,0.22986793107772177,0.03520365503842902,0.7769407205075357,0.6589531953314868,2.102314676367923,1.9576303710519765,4.476641302177203,0.7969790428552287,1.9985037175567637,-0.4944034432376979,0.9806676100671452,-0.8866903437019305,0.9695201525195113,-0.8148800334013632,-0.2549259607782237,-0.5702962181652379,-1.0397905903898133,1.382552683396514,-0.9656401017949876,-1.5248016599320526,0.7043080693245228,0.2281678115082428,0.9394144707223964,-0.10145897355463113,-0.16653035983403386,-0.2918780405867375,0.16875709493725027
9,9,1,ch1g9,58.0,50.0,34,4,0.6828763818906295,0.003023015916849836,0.08902067523296331,0.38800600034959787,0.006459015139392621,2.183664426865602,1.213394595093454,0.051092068626411136,0.45111705254707063,0.2012582105525369,0.04828354497411924,0.4083867652912755,0.10163511478402382,0.016717876166071566,0.6842384286781137,0.5174340605340484,0.02511510416456888,0.7632854697230049,1.101977005571418,3.755790933254563,1.9342134403103752,5.796881572312617,1.2678762083105113,2.771347831951897,-0.3927683284536741,0.9639497339010736,-0.20245191502381674,1.6523965344101408,-0.817903049318213,-0.343946636011187,-0.18229021781564,-1.0333315752504206,3.566217110262116,-0.7643818912424507,-1.4765181149579334,1.1126948346157983,-0.9852267835852111,0.8883224020959852,0.3496580789924395,-0.13445413733736702,-0.29509612070590163,0.8964342945670699
