participantID,generation_number,chain_number,chainID,age,extrovert,TotalLanguages,Gender,NumOfNativeLanguages,diff_in_age,diff_in_extrovert,diff_in_gender,diff_in_TotalNativeLanguages,diff_in_TotalLanguages,diff_in_gesture_space_Donner,diff_in_entropy_Donner,diff_in_variability_Donner,diff_in_gesture_space_kalt,diff_in_entropy_kalt,diff_in_variability_kalt,diff_in_gesture_space_langsam,diff_in_entropy_langsam,diff_in_variability_langsam,diff_in_gesture_space_leise,diff_in_entropy_leise,diff_in_variability_leise,diff_in_gesture_space_rennen,diff_in_entropy_rennen,diff_in_variability_rennen,diff_in_gesture_space_mean,diff_in_entropy_mean,diff_in_variability_mean,total_dist_Donner,total_dist_kalt,total_dist_langsam,total_dist_leise,total_dist_rennen,total_dist_mean,gesture_space_rennen,entropy_rennen,variability_rennen,gesture_space_Donner,entropy_Donner,variability_Donner,gesture_space_kalt,entropy_kalt,variability_kalt,gesture_space_leise,entropy_leise,variability_leise,gesture_space_langsam,entropy_langsam,variability_langsam,gesture_space_mean,entropy_mean,variability_mean
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,ch1g1,26.0,40.0,3.0,Woman / Weiblich,1.0,,,,,,0.3291754172667094,0.01736576340005902,168.8120438804915,0.19430916860411662,0.0011535116781860033,41.57397096415653,0.3352056821207158,0.11641468481124795,122.14228454757853,0.1422196885157972,0.2932058802412738,746.6127212655551,0.08664618032777299,0.05309014041621696,40.15908440592389,0.2175112273670224,0.09624599610939674,223.86002101274113,481.6820619244105,594.6786477800608,225.14102993486756,1055.8711817630997,60.331660532451274,483.540916386978,0.3872950111231573,2.717747806540195,117.38987155817324,1.0330680436436337,2.880487878848849,450.0000000000008,0.9120255533530536,1.9786911605681063,0.0,0.4562856285248934,1.286907147544557,0.0,0.4364329671831809,2.777384894503274,38.87301263230159,0.6450214407655838,2.3282437776009965,121.25257683809514
2,2,1,ch1g2,24.0,17.0,7.0,Prefer not to say / Keine Angabe,1.0,2,23,1,0,4,0.1233871791867891,0.14519161357128008,33.10978227354963,0.0015042192845464708,0.34328121274957235,1883.3333333333255,0.08469109250566376,0.07695849133858212,200.89539414575657,0.04514140523243204,0.225410871475338,0.0,0.029349711558525393,0.19963178275024918,48.84007889565619,0.05681472155359135,0.19809479437700434,433.2357177296575,315.9317367938231,2708.5333678010975,220.1891294409297,0.4246930237017766,91.54970914700348,667.325727241311,0.3579452995646319,2.9173795892904444,68.54979266251705,1.1564552228304228,2.7352962652775688,483.1097822735504,0.9135297726376,1.635409947818534,1883.3333333333255,0.5014270337573254,1.512318019019895,0.0,0.5211240596888447,2.8543433858418563,239.76840677805816,0.690096277695765,2.33094944144966,534.9522630094903
3,3,1,ch1g3,32.0,60.0,3.0,Woman / Weiblich,1.0,8,43,1,0,4,0.10340111556892184,0.1614785602683919,264.04267427873515,0.33407130885033265,0.31092132889327284,825.5053700046983,0.10244734036668979,0.02125213196974096,135.099616990674,0.05835270196073833,0.8834475019904957,564.0257086339241,0.2614863840211888,0.0742917246086292,27.35454280150436,0.17195177015357427,0.29027824954610615,363.2055825419072,818.8453565664157,1169.9431819932506,159.3545905929518,803.8015424851754,131.59048433662852,616.7070311948844,0.6194316835858207,2.843087864681815,41.19524986101269,1.053054107261501,2.8967748255459607,219.06710799481527,0.5794584637872674,1.9463312767118068,1057.8279633286272,0.4430743317965871,2.3957655210103908,564.0257086339241,0.6235714000555345,2.8330912538721154,104.66878978738416,0.6637179972973423,2.583010148364418,397.35696392115267
4,4,1,ch1g4,60.0,86.0,3.0,Woman / Weiblich,1.0,28,26,0,0,0,0.651022914248121,0.010843096378541528,161.99500417763937,0.2792039081751164,0.0493084611081418,585.0904826656438,0.5265726208069527,0.01321847908398821,440.8712077278185,0.006667838188853359,0.44954592940425786,3.326817480914997,0.07104163411514053,0.1602087225777722,11.509377808461387,0.3069017831068368,0.13662493771054032,240.5585779720956,223.37151035118387,633.9510166153856,776.7355375083229,806.0047546339551,18.18874671155756,491.650313164081,0.6904733177009612,2.682879142104043,52.70462766947408,1.704077021509622,2.885931729167419,381.06211217245465,0.8586623719623838,1.897022815603665,472.7374806629834,0.4497421699854405,1.946219591606133,567.3525261148391,1.1501440208624871,2.819872774788127,545.5399975152027,0.970619780404179,2.4463852106538773,403.8793488269908
5,5,1,ch1g5,59.0,66.0,2.0,Man / Männlich,1.0,1,20,1,0,1,0.11890417031690959,0.496367190212724,755.5019105635304,0.18196660676189536,0.3246680223210372,268.6697088571195,0.15461979798024716,0.03845919373619111,203.5595634492439,0.176206682945393,1.106074547084852,567.3525261148391,0.1191503943850103,0.09328131485172486,86.89186042094683,0.15016953047789108,0.4117700536413059,376.39511388113596,1168.740403716458,769.6750012701833,465.77959488404366,802.2055874455835,213.30129909712284,683.9403772826784,0.5713229233159509,2.776160456955768,139.5964880904209,1.8229811918265315,2.389564538954695,1136.564022735985,0.6766957652004885,2.2216908379247022,204.0677718058639,0.2735354870400475,0.8401450445212807,0.0,0.99552422288224,2.781413581051936,341.9804340659588,0.8680119180530517,2.2017948918816765,364.4417433396457
6,6,1,ch1g6,24.0,71.0,3.0,Woman / Weiblich,1.0,35,5,1,0,1,0.7104255844224414,0.09935907673466993,522.5635929496805,0.5008107348328806,0.44030180202799407,168.86872768575574,0.29591555398650304,0.03249375251637021,424.83215269163657,0.08602401469094789,0.5102800052627828,0.0,0.026983893569508366,0.09671288386447241,338.3427611096431,0.3240319563004563,0.2358295040812579,290.92144688734317,847.5250946653891,526.6490135624452,582.7472833024624,1.9890224694554537,416.81257460449854,475.1445977208502,0.5443390297464425,2.8728733408202403,477.939249200064,1.11255560740409,2.488923615689365,614.0004297863045,0.1758850303676078,2.6619926399526963,372.93649949161966,0.1875114723490996,1.3504250497840635,0.0,0.6996086688957369,2.8139073335683062,766.8125867575953,0.5439799617525953,2.437624395962934,446.33775304711673
7,7,1,ch1g7,50.0,40.0,2.0,Woman / Weiblich,1.0,26,31,0,0,1,0.0882342337629951,0.3187940705861254,547.3337631196455,0.35214687745096973,0.7007313548569314,250.14040297619215,0.1279163041313024,0.04287909030838133,228.82830879648384,0.2451407462895407,0.2600070246716044,0.0,0.0004307062591017985,0.17045146932855815,255.33155882652184,0.16277377357878192,0.29857260195032015,256.32680674376866,753.7006588375746,840.8268411942463,395.4462490067141,0.5124069293109741,347.53762073607453,467.60475534078415,0.5447697360055443,2.702421871491682,222.60769037354217,1.2007898411670852,2.8077176862754905,66.66666666665901,0.5280319078185776,1.961261285095765,623.0769024678118,0.4326522186386403,1.090418025112459,0.0,0.5716923647644345,2.8567864238766876,537.9842779611115,0.6555872136788563,2.283721058370417,290.0671074938249
8,8,1,ch1g8,24.0,54.0,5.0,Woman / Weiblich,4.0,26,14,0,3,3,0.04358842610172564,0.09515471485782356,300.0000000000141,0.02924067939066921,0.01609160256817521,818.5897641988563,0.3418754148825469,0.04543187363297063,185.35369567091834,0.051792243472224275,0.26775921803352276,1599.9999999999957,0.046368159899573436,0.1094434657377703,154.56630862956683,0.10257298474934791,0.10677617496605249,611.7019536998703,420.97527464971785,1266.833943196749,642.3813910338363,2262.742992831097,318.2553907329548,982.237798488871,0.5911378959051178,2.8118653372294524,68.04138174397532,1.2443782672688108,2.712562971417667,366.6666666666731,0.5572725872092468,1.9451696825275897,1441.666666666668,0.380859975166416,0.8226588070789363,1599.9999999999957,0.9135677796469814,2.811354550243717,352.63058229019316,0.7374433010393145,2.2207222696994724,765.801059473501
9,9,1,ch1g9,58.0,50.0,1.0,Woman / Weiblich,1.0,34,4,0,3,4,0.3047170102282526,0.1942159713918845,28.00267454047895,0.1731382597386243,0.015673280996168826,349.9682167723529,0.5414478858096119,0.09612107441479889,242.0178607695093,0.0898065913975033,0.3616161392545151,341.66666666666583,0.04535220302311349,0.05251389178995547,118.26779975579065,0.23089239003942114,0.14402807156946457,215.98464370095954,99.1423401122215,1440.993788546676,553.0471305621761,2551.82541266085,454.8812008480933,1019.9779745460035,0.6364900989282313,2.864379229019408,186.30918149976597,1.5490952774970634,2.5183470000257824,394.66934120715206,0.7304108469478711,1.9294964015314209,1791.634883439021,0.4706665665639193,1.1842749463334514,1941.6666666666615,0.3721198938373696,2.715233475828918,594.6484430597025,0.7517565367548908,2.242346210547796,981.7857031744607
