participantID,Age,BirthPlace,Gender,NativeLanguages,NumOfNativeLanguages,Other Languages,TotalLanguages,Extroversion,Hand,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,event,left_wrist_space2D,right_wrist_space2D,left_knee_space2D,right_knee_space2D,nose_space2D,total_arm_boundingbox2D,total_lower_body_boundingbox2D,left_arm_entropy,right_arm_entropy,left_wrist_entropy,total_arm_entropy2Daggregated,left_wrist_variability2D,right_wrist_variability2D,left_knee_variability2D,right_knee_variability2D,left_wrist_submovements,right_wrist_submovements,left_knee_submovements,right_wrist_SpeedAVG,left_wrist_SpeedAVG,left_knee_SpeedAVG,right_knee_SpeedAVG,right_wrist_AccelAVG,left_wrist_AccelAVG,right_knee_AccelAVG,left_knee_AccelAVG,right_wrist_SpeedSD,left_wrist_SpeedSD,right_knee_SpeedSD,left_knee_SpeedSD,right_wrist_AccelSD,left_wrist_AccelSD,right_wrist_SpeedRange,left_wrist_SpeedRange,right_knee_SpeedRange,left_knee_SpeedRange,right_wrist_AccelRange,left_wrist_AccelRange,right_knee_AccelRange,left_knee_AccelRange,right_wrist_SpeedIntegral,left_wrist_SpeedIntegral,right_knee_SpeedIntegral,left_knee_SpeedIntegral,X_embeddings,Y_embeddings
23,35.0,Deutschland ,Woman / Weiblich,Deutsch ,1.0,"English (fluent), French (advanced), Italian (beginner)",4.0,43.0,Right-handed / Rechtshänder*in,Donner_g_ch2_g3_compr.mp4,ch2g3,3.0,2.0,Donner,Donner_g_ch2,lndw,0.2848058747679788,0.2653868759851794,0.0066794413313419,0.0058543161607634,0.0402338221085783,0.3200509942243415,0.0052732320146071,4.311680062638569,4.404355888704822,2.13254245437753,2.2460055503714194,1080.5805481257064,1265.0086614645138,303.05848353815134,372.9263654853006,4.0,4.0,4.0,0.0002861814007693,0.0003109093786621,1.6036503581593008e-05,2.0137139615381024e-05,-1.0871721664935451e-06,-7.15959390388414e-07,-1.835214331847226e-07,-4.268480899287863e-08,0.0002750873192233,0.0002832536699828,9.978457984828925e-06,1.3939687927015422e-05,1.26581483229887e-05,1.3371223947065144e-05,0.000868280977766,0.0010079623005394,5.874753547966833e-05,5.433140291328953e-05,8.440741641964171e-05,8.919813637154127e-05,8.566222013884296e-06,8.68080463259317e-06,0.07301536106816,0.0794261628177415,0.0025506239559019,0.0032087525190675,9.953186,16.55376
0,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,0.0,1.0,kalt,kalt_g_ch1,lndw,0.1386907817219736,0.14654838881796,0.0,0.0,0.0,0.1134320043511285,0.0,4.27828980822893,4.679168548513713,2.318897155041266,2.2423981010354628,24.99999999999909,58.3333333333328,0.0,0.0,3.0,3.0,0.0,0.0002024307630668,0.0001836897673642,0.0,0.0,-3.634087062987009e-06,-2.515463366754643e-06,0.0,0.0,0.0001761061128267,0.0001625415659481,0.0,0.0,0.0,0.0,0.0007625899650656,0.0006428913839241,0.0,0.0,9.42188796304441e-05,6.682849331360682e-05,0.0,0.0,0.0323049251655228,0.0293107534459876,0.0,0.0,-3.047547,8.861458
16,27.0,Deutschland,Man / Männlich,Deutsch ,1.0,English,2.0,30.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g16_compr.mp4,ch1g16,16.0,1.0,Donner,Donner_g_ch1,lndw,0.1824852679348505,0.1806307699582803,0.0086539281252084,0.0113805517989233,0.0,0.2945775169875498,0.0034402059276658,5.366334705242454,5.118301190851131,2.5142763130781685,2.775162523945503,308.7114798282995,559.60188524741,238.18938284223785,167.20653304030245,11.0,12.0,16.0,0.0003566465182295,0.0003755818975386,2.1243459616025567e-05,2.2319298904541473e-05,2.469870382785295e-08,-5.8285871009860163e-08,5.7711316284337295e-09,3.0800991555239037e-08,0.0002669033619233,0.0002770996212366,1.0614934229348343e-05,1.2446717647427328e-05,2.686457320247959e-05,3.756313445815159e-05,0.0010290508488744,0.0010481479900936,4.633212283605439e-05,5.2177733559383266e-05,0.0001786757394748,0.00018633289411,9.32939879522452e-06,1.1130923499110342e-05,0.1608406958939652,0.1693837560932002,0.007595745380317,0.0079681983068731,10.6901,15.937997
22,32.0,"Delft, Netherlands",Man / Man,Dutch and Polish,,"English (fluent), French (good knowledge), German (basic knowledge)",5.0,91.0,Right-handed / Rechtshandig,onweer_g_ch2_g2_compr.mp4,ch2g2,2.0,2.0,onweer,onweer_g_ch2,nijmegen,0.0,0.0,0.0,0.0,0.1181828819092439,0.2510732822852437,0.0,0.0,0.0,0.0,2.65891842261202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.838358744439848e-05,0.0004568880756462,0.0,0.0,-1.9726705179332313e-07,-1.7043886115788983e-06,0.0,0.0,2.6162399574901905e-05,0.0003354550118283,0.0,0.0,0.0,0.0,9.944344297811134e-05,0.0012044628584763,0.0,0.0,1.2476105091764767e-05,0.0001245312388291,0.0,0.0,0.0102795321910071,0.097070453098835,0.0,0.0,-3.5873823,10.205219
30,45.0,Dresden,Woman / Weiblich,Deutsch,1.0,Englisch,2.0,51.0,Right-handed / Rechtshänder*in,kalt_g_ch2_g10_compr.mp4,ch2g10,10.0,2.0,kalt,kalt_g_ch2,lndw,0.1369816231935627,0.1349181631698083,0.0209698663462905,0.0243407211086623,0.027318943985968,0.1612017956334796,0.0067513308549337,4.007069297918374,4.248511397675179,1.9843057328327265,1.7912992759387554,1787.7816405938488,1329.8797866399825,730.715798536811,894.7668069887851,5.0,4.0,5.0,0.0001314763898588,0.0001526868660414,2.614552025671431e-05,2.2213872973202914e-05,-9.870093327028849e-08,-5.883288490664804e-07,-4.262190556755228e-09,2.1670384447574115e-09,0.0001444148969169,0.000168566989039,1.92178033847196e-05,2.0244681652098083e-05,1.1679272256920489e-05,1.2453149739884254e-05,0.0005904292597688,0.0006214333583619,7.956848051036141e-05,9.080497764757194e-05,8.246813419391963e-05,8.06251036264433e-05,6.804454719584333e-06,1.3261556261034282e-05,0.0520000559413803,0.0602690497879201,0.0103451207655569,0.0087855928271353,6.8387966,14.39781
12,25.0,"Hamburg, Germany",Man / Männlich,German,1.0,"English (fluent), Spanish (fluent), French (basic)",4.0,55.0,Right-handed / Rechtshänder*in,lndw_lndw_rennen_g_ch1_g12_compr.mp4,ch1g12,12.0,1.0,lndw_lndw_rennen,lndw_lndw_rennen_g_ch1,lndw,0.0,0.0,0.0166553630525757,0.0149826471146135,0.0,0.0471142083437966,0.0203676325521273,0.0,0.0,0.0,2.785682688279008,0.0,0.0,275.74866525314087,221.96095752781977,0.0,0.0,6.0,0.0001396568879455,0.0002337633532253,4.381202558895247e-05,3.959161962741011e-05,-2.1821639949564945e-07,-1.601312912619449e-07,5.526147725038183e-08,6.693919103992939e-08,9.90183203880995e-05,0.0001359831651626,2.2138525191972648e-05,2.1329751571361083e-05,1.8707601548621244e-05,2.4806110353403203e-05,0.0003788144105237,0.0005183748002531,8.407510594452598e-05,0.0001109456833474,8.278387638807543e-05,9.988687976074636e-05,1.6144398962101792e-05,2.8185194199612e-05,0.0362534690638266,0.0607193987568326,0.0097961372613561,0.008855538811034,8.552276,14.323747
37,52.0,Österreich,Woman / Weiblich,"Österreichisch, deutsch",2.0,Englisch (fließend),3.0,74.0,Right-handed / Rechtshänder*in,leise_g_ch2_g17_compr.mp4,ch2g17,17.0,2.0,leise,leise_g_ch2,lndw,0.0,0.1005508274494886,0.0,0.0,0.0,0.0811323897503891,0.0,0.0,1.645296731085951,0.6467679009748238,0.6582918100668019,0.0,2433.333333333336,0.0,0.0,0.0,3.0,0.0,0.0001209018551825,8.843886115439015e-06,0.0,0.0,7.558264024079667e-07,4.23603811474019e-08,0.0,0.0,0.0002170144575125,8.083220734528973e-06,0.0,0.0,0.0,0.0,0.0007073622657575,3.618840976144299e-05,0.0,0.0,7.083651687675862e-05,8.189889139341654e-06,0.0,0.0,0.0387574076892216,0.0028386848983353,0.0,0.0,-1.0404261,11.843691
26,,,Woman / Weiblich,,,,,,,kalt_g_ch2_g6_compr.mp4,ch2g6,6.0,2.0,kalt,kalt_g_ch2,lndw,0.0425531600827928,0.0666679321205944,0.0,0.0,0.0,0.144502129670646,0.0,4.452912091519512,4.52893547641639,2.2174188351038886,2.2082270969631828,329.33819826133214,294.03797940629147,0.0,0.0,10.0,11.0,0.0,0.0001300519890192,0.0001087736170658,0.0,0.0,4.101051308196056e-07,1.737976584302949e-07,0.0,0.0,0.0001317573832553,8.402700478373428e-05,0.0,0.0,0.0,0.0,0.0005602653985262,0.0003307407814873,0.0,0.0,0.0001133659603822,6.879290373688787e-05,0.0,0.0,0.0413611501080493,0.034561537448514,0.0,0.0,-1.8842555,10.43055
5,59.0,Berlin ,Man / Männlich,Deutsch,1.0,Englisch,2.0,66.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g5_compr.mp4,ch1g5,5.0,1.0,Donner,Donner_g_ch1,lndw,0.3391152331319205,0.311341480565766,0.0103187739004789,0.0116989141068719,0.0,0.7137744275752944,0.0043657593055062,4.451780563387834,4.634547521428063,2.3089865243386067,2.1912362209421596,856.064963786183,989.5004351242676,553.6076963712445,515.2492317639425,5.0,6.0,9.0,0.0004244203703432,0.000469969823902,1.9068599535624475e-05,1.9820987090190523e-05,2.146315022352809e-07,4.103858162020086e-07,-4.1355135369668216e-08,2.8822487203126145e-08,0.0003432247056526,0.000355423905607,1.3346454498415283e-05,1.1503781357666245e-05,3.276484998150096e-05,3.2740511719744156e-05,0.001465851483405,0.0015237273316697,6.468751481888701e-05,5.013050710262961e-05,0.0001951420977598,0.0001972601842125,1.1959794139378937e-05,9.115917661982893e-06,0.2477340004043862,0.2743785419348218,0.0070041225995013,0.007279210401222,10.8901825,15.84617
4,28.0,"Nederland, Heeze",Woman / Vrouw,Nederlands,,"Engels (vloeiend), Duits (beginnend basis), Frans (beginnend basis)",4.0,28.0,Right-handed / Rechtshandig,onweer_g_ch1_g4_compr.mp4,ch1g4,4.0,1.0,onweer,onweer_g_ch1,nijmegen,0.0,0.0,0.0,0.0,0.0,0.2713110795508305,0.0,0.0,0.0,0.0,2.4807305257058174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003027818143116,3.101168044001038e-05,0.0,0.0,-1.0031727378778525e-07,-2.779077523136423e-09,0.0,0.0,0.0002239492986385,1.9178229126976956e-05,0.0,0.0,0.0,0.0,0.0008913663121952,9.107091778481515e-05,0.0,0.0,7.519942373171966e-05,1.5778358927206713e-05,0.0,0.0,0.1104616892011552,0.0112970553833169,0.0,0.0,0.08517297,12.047807
