participantID,Age,Gender,NumOfNativeLanguages,TotalLanguages,Extroversion,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,total_gesture_space2D,total_body_entropy2Daggregated,total_body_variability2Daggregated,X_embeddings,Y_embeddings,total_distance,diff_in_gesture_space,diff_in_entropy,diff_in_variability,diff_in_age,diff_in_extrovet,diff_in_gender,diff_in_TotalLanguages,diff_in_TotalNativeLanguages,Age_category
1,26.0,Woman / Weiblich,1.0,3.0,40.0,Donner_g_ch1_g1_compr.mp4,ch1g1,2.0,1.0,Donner,Donner_g_ch1,1.0330680436436337,2.880487878848849,450.0000000000008,10.3040085,3.6634839,481.69477654701006,0.3291754172667094,0.01736576340005902,168.8120438804915,,,,,,Gen_Z
22,59.0,Woman / Weiblich,1.0,3.0,69.0,kalt_g_ch2_g2_compr.mp4,ch2g2,3.0,2.0,kalt,kalt_g_ch2,0.7553755651179971,1.2439698328433757,1946.998322838472,0.92444503,-2.9842646,623.3228036977562,0.1700352327460053,0.38897567998752103,162.52146983956732,37.0,19.0,1.0,0.0,0.0,GenX
33,55.0,Man / Männlich,1.0,2.0,80.0,leise_g_ch2_g13_compr.mp4,ch2g13,14.0,2.0,leise,leise_g_ch2,0.5572636839351472,1.9390884309547003,918.6342519680442,1.3877063,-4.5441236,1300.8202005747046,0.13834628156472034,0.4231738296974932,918.6342519680442,31.0,39.0,1.0,2.0,0.0,GenX
38,9.0,Woman / Weiblich,1.0,2.0,48.0,Donner_g_ch2_g18_compr.mp4,ch2g18,19.0,2.0,Donner,Donner_g_ch2,1.7715415758211692,2.7747096955972133,453.19714730015113,-1.641941,-2.5761282,402.3504378948392,0.30261081314829474,0.016027808925560105,7.076458877098844,43.0,26.0,0.0,1.0,1.0,Gen_Alpha
58,28.0,Man / Männlich,1.0,2.0,60.0,langsam_g_ch3_g18_compr.mp4,ch3g18,19.0,3.0,langsam,langsam_g_ch3,0.73724305589886,2.782058532478033,475.1607914988132,-0.7007718,-4.0274215,339.3035581930797,0.05926395786697847,0.16220150877875295,53.61634008483526,22.0,30.0,1.0,0.0,0.0,Millenial
20,,,,,,leise_g_ch1_g20_compr.mp4,ch1g20,21.0,1.0,leise,leise_g_ch1,0.1760033229053797,1.050575079883999,1549.9318981454967,14.729676,4.461177,1145.858452937413,0.1570255061934512,0.02518667094394411,123.91698990697955,,,,,,
53,32.0,Woman / Weiblich,1.0,3.0,50.0,kalt_g_ch3_g13_compr.mp4,ch3g13,14.0,3.0,kalt,kalt_g_ch3,0.8686045357069574,1.766638997208885,1233.333333333332,12.037917,4.5127273,1381.1984377382869,0.25981579909064423,0.8788483658697016,791.6666666666631,11.0,3.0,1.0,0.0,0.0,Millenial
45,43.0,Woman / Weiblich,1.0,4.0,50.0,leise_g_ch3_g5_compr.mp4,ch3g5,6.0,3.0,leise,leise_g_ch3,0.4926345440037805,0.7513983113190364,2406.6266540225724,14.902326,4.4697337,3067.6278439410653,0.2025024383571296,1.9786582792221905,2163.3282744370986,15.0,4.0,0.0,1.0,0.0,Millenial
15,44.0,Woman / Weiblich,1.0,5.0,70.0,langsam_g_ch1_g15_compr.mp4,ch1g15,16.0,1.0,langsam,langsam_g_ch1,0.8278048746924972,2.8274204364287625,555.9205150447442,-1.9919086,-4.122028,467.4085837640184,0.009248304279156239,0.025558768438652457,404.3707085244042,33.0,30.0,1.0,3.0,0.0,Millenial
31,36.0,Woman / Weiblich,1.0,5.0,12.0,rennen_g_ch2_g11_compr.mp4,ch2g11,12.0,2.0,rennen,rennen_g_ch2,0.5923829005981677,2.705270399193047,151.68803268306593,0.56459457,-6.0711613,354.42168553250957,0.05232714904261759,0.11944039240252424,286.6529956759715,9.0,39.0,0.0,3.0,0.0,Millenial
2,24.0,Prefer not to say / Keine Angabe,1.0,7.0,17.0,langsam_g_ch1_g2_compr.mp4,ch1g2,3.0,1.0,langsam,langsam_g_ch1,0.5211240596888447,2.8543433858418563,239.76840677805816,0.8487357,-6.2540255,220.18916985021133,0.08469109250566376,0.07695849133858212,200.89539414575657,2.0,23.0,1.0,4.0,0.0,Gen_Z
19,57.0,Woman / Weiblich,1.0,2.0,39.0,leise_g_ch1_g19_compr.mp4,ch1g19,20.0,1.0,leise,leise_g_ch1,0.3330288290988309,1.0757617508279431,1426.0149082385171,15.226044,4.3623314,1938.7809256503187,0.17234303680231555,0.6870443013214618,1426.0149082385171,38.0,25.0,0.0,0.0,0.0,GenX
24,66.0,Woman / Weiblich,1.0,5.0,60.0,langsam_g_ch2_g4_compr.mp4,ch2g4,5.0,2.0,langsam,langsam_g_ch2,0.6101919244775156,2.4540319255003316,664.3013595472241,-1.8429923,-4.26477,1888.1664726541344,0.6471237059302732,0.4230448771778632,319.0290569178877,31.0,17.0,0.0,1.0,0.0,Baby_Boomer
54,26.0,Non-binary / Nicht-binär,1.0,2.0,70.0,leise_g_ch3_g14_compr.mp4,ch3g14,15.0,3.0,leise,leise_g_ch3,0.4821933834387193,1.3500512732174712,0.0,1.4815512,-4.59464,1155.0733205788888,0.050052211915945,0.6488097818030256,816.6666666666683,6.0,20.0,1.0,1.0,0.0,Gen_Z
6,24.0,Woman / Weiblich,1.0,3.0,71.0,langsam_g_ch1_g6_compr.mp4,ch1g6,7.0,1.0,langsam,langsam_g_ch1,0.6996086688957369,2.8139073335683062,766.8125867575953,-0.619572,-4.653863,582.7474917952462,0.29591555398650304,0.03249375251637021,424.83215269163657,35.0,5.0,1.0,1.0,0.0,Gen_Z
11,25.0,Woman / Weiblich,1.0,4.0,76.0,langsam_g_ch1_g11_compr.mp4,ch1g11,12.0,1.0,langsam,langsam_g_ch1,0.2417254450011217,0.0,0.0,1.4510349,-4.7630577,829.6467056162221,0.5504583203691419,2.7610779163719585,393.31691166627286,0.0,6.0,1.0,1.0,0.0,Gen_Z
35,15.0,Man / Männlich,2.0,4.0,43.0,rennen_g_ch2_g15_compr.mp4,ch2g15,16.0,2.0,rennen,rennen_g_ch2,1.3332030775950603,2.4330476445343217,161.9327706865466,-1.9666135,-2.8753707,466.1861510762747,0.0712718194252262,0.329314545921628,57.30379658174937,1.0,18.0,0.0,1.0,1.0,Gen_Z
41,29.0,Woman / Weiblich,1.0,3.0,50.0,leise_g_ch3_g1_compr.mp4,ch3g1,2.0,3.0,leise,leise_g_ch3,0.4681719869257685,2.072904641892672,750.0000000000009,15.848808,4.2334566,4.839678402868591,0.1541060469166723,0.49279161410684136,3.387278734445772,,,,,,Millenial
57,50.0,Woman / Weiblich,1.0,2.0,30.0,kalt_g_ch3_g17_compr.mp4,ch3g17,18.0,3.0,kalt,kalt_g_ch3,0.7986542803771879,1.4035980213865342,1658.3333333333285,0.91350156,-2.9856427,1737.5632763198475,0.033593899515918846,1.0032701410798508,1658.3333333333285,29.0,50.0,1.0,0.0,1.0,GenX
