participantID,generation_number,chain_number,chainID,age,extrovert,diff_in_age,diff_in_extrovert,diff_in_gesture_space_Donner,diff_in_entropy_Donner,diff_in_variability_Donner,diff_in_gesture_space_kalt,diff_in_entropy_kalt,diff_in_variability_kalt,diff_in_gesture_space_langsam,diff_in_entropy_langsam,diff_in_variability_langsam,diff_in_gesture_space_leise,diff_in_entropy_leise,diff_in_variability_leise,diff_in_gesture_space_rennen,diff_in_entropy_rennen,diff_in_variability_rennen,diff_in_gesture_space_mean,diff_in_entropy_mean,diff_in_variability_mean,total_dist_Donner,total_dist_kalt,total_dist_langsam,total_dist_leise,total_dist_rennen,total_dist_mean,gesture_space_rennen,entropy_rennen,variability_rennen,gesture_space_Donner,entropy_Donner,variability_Donner,gesture_space_kalt,entropy_kalt,variability_kalt,gesture_space_leise,entropy_leise,variability_leise,gesture_space_langsam,entropy_langsam,variability_langsam,gesture_space_mean,entropy_mean,variability_mean
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,ch1g1,,,,,0.7376881185006691,1.860545163762867,0.1695247653739701,0.4354503935476485,0.06835538631037119,0.7218056826542456,0.7512020521083186,0.11408710504460429,0.12028714804011065,0.3187169178856537,0.033691309228077504,0.8509025697570909,0.19417567165860394,0.034040458679282626,0.03543139698586706,0.48744663074017874,0.4221438846050405,0.3795903125622569,20.235029529250056,1.5939694710139174,1.3586184713967546,3.220252433371358,4.762452490142253,6.234064479034868,-0.9512190687578626,1.0548826713022337,-0.8301412837932554,0.4959700843511089,-0.8745277204197406,-0.5398469598186627,0.2247116542334481,-1.0123117835535922,-1.1191863245341958,-0.7966098358817317,-1.449773677581599,-1.1191863245341958,-0.8411000123171516,0.9589297460157052,-0.6933737130457507,-0.37364943567443776,-0.2645601528473986,-0.8603469211452122
2,2,1,ch1g2,24.0,17.0,2,23,0.2765129207314372,0.047161204191785044,0.3580792568283464,0.0033709828730328073,0.13444929619179025,3.1030999628240448,0.18979428416323474,0.02516582952827706,0.04102509478325267,0.10116271308743574,0.02892882951949538,0.0,0.06577323932000545,0.013628919561451625,0.11818034894796514,0.1273228280350292,0.04986681579855987,0.7240769326767218,1.4989298164767184,6.154411892267765,0.7821580111910285,0.4341880118695468,0.4116781710498002,1.8562731805709718,-1.016992308077868,1.041253751740782,-0.7119609348452902,0.7724830050825461,-0.9216889246115256,-0.8979262166470091,0.2280826371064809,-1.1467610797453824,1.9839136382898492,-0.695447122794296,-1.4208448480621036,-1.1191863245341958,-0.6513057281539169,0.9337639164874282,-0.652348618262498,-0.2726359033674107,-0.30285543683816035,-0.2795016911998288
3,3,1,ch1g3,32.0,60.0,8,43,0.23172378736017607,1.9181694698021516,0.9148961727839474,0.748659900903788,0.10929595945856763,1.3162246168194023,0.22958635972281055,0.13999148575817133,0.11347687862588685,0.13076947020004814,0.13268093586689989,0.6526805669355298,0.5859957594763023,0.02498688234716484,0.18636390374542622,0.385347055532625,0.4650249466465911,0.6367284277820385,20.120986355908833,2.4529371699698013,0.8673268350024227,2.6702138996989633,0.9368841085723776,5.40966967383048,-0.4309965486015656,1.066240634087947,-0.8983248385907164,0.54075921772237,0.996480545190626,0.0169699561369383,-0.5205772637973071,-1.0374651202868148,0.6676890214704471,-0.8262165929943441,-1.2881639121952038,-0.466505757598666,-0.4217193684311063,1.0737554022455995,-0.7658254968883849,-0.3317501112203906,0.16216950980843076,-0.28919942309407637
4,4,1,ch1g4,60.0,86.0,28,26,1.4589542338861894,0.06503310608340596,0.1875447642550174,0.6257010545014507,1.7379189738408747,0.17373898500226115,1.1800588547057702,0.19982502452860007,1.0258133928934883,0.014942747088604103,1.4802116847209776,0.006412855418599872,0.1592055987678731,0.10949271353669732,0.013691329230922977,0.6877724977899775,0.7184963005421111,0.28144026536005795,1.8902400310148697,21.25837965763042,3.910270620062729,16.718639141394505,0.6067532182427227,8.876856533669049,-0.2717909498336925,0.9567479205512496,-0.9120161678216394,1.9997134516085593,1.061513651274032,-0.1705748081180791,0.1051237907041437,0.70045385355406,0.4939500364681859,-0.81127384590574,0.1920477725257739,-0.4729186130172659,0.7583394862746639,0.8739303777169994,0.2599878960051034,0.3560223865695869,0.756938715124423,-0.16031433129673903
5,5,1,ch1g5,59.0,66.0,1,20,0.26646641602612453,0.28415836303588826,1.437016408456905,0.4077904871716836,1.6366693892065696,1.1539624138457998,0.34650578953344413,0.16217895760486367,0.6751512364933018,0.3948823927635883,1.7490188788740382,0.6462677115169299,0.26701820865704146,0.15110128678517343,0.29778441470051187,0.3365326588303764,0.7966253751013066,0.8420364370026897,2.683897854575035,20.351104992434426,1.4159362805073694,18.693630194807284,0.9826026116902896,8.82543438680288,-0.538809158490734,1.107849207336423,-0.6142317531211275,2.266179867634684,0.7773552882381437,1.266441600338826,-0.3026666964675399,-0.9362155356525096,-0.660012377377614,-1.2061562386693283,-1.5569711063482643,-1.1191863245341958,0.4118336967412197,1.0361093353218631,0.9351391324984052,0.1260762941496602,0.08562543777913119,-0.03836994443914123
6,6,1,ch1g6,24.0,71.0,35,5,1.5920767020178397,1.651074135611387,0.9723489589619962,1.1223259980087463,0.1221041905677811,0.5525937764280373,0.663152157800768,0.05201894989663791,0.6016252332162573,0.19278138711015202,0.10433369826832384,0.0,0.06047139802357915,0.11630435097569825,0.14563984217557363,0.726161528592217,0.40916706506396566,0.45444156215637294,20.05807504756484,1.904871092961398,1.5047408457198812,1.601221543650797,0.6750984984134949,5.148801405662082,-0.5992805565143131,0.9915448563607248,-0.4685919109455539,0.6741031656168441,-0.8737188473732433,0.2940926413768296,-1.4249926944762863,-0.8141113450847285,-0.1074186009495767,-1.3989376257794803,-1.4526374080799405,-1.1191863245341958,-0.2513184610595483,0.9840903854252252,0.3335138992821479,-0.6000852344425567,-0.2329664717503924,-0.2135180591540698
7,7,1,ch1g7,50.0,40.0,26,31,0.19773452839351735,0.11430690826975265,0.6803227495518935,0.7891675800693619,0.24808405602300343,0.8518962810992352,0.28666277240175614,0.0945393204134175,0.5001593770585643,0.5493648869643881,0.04326433295806176,0.0,0.0009652205882854092,0.008504799278135078,0.06140062461645551,0.3647789976834618,0.10173988338847409,0.4187558064652297,1.405029349846979,3.568364008012868,1.1311447939973776,0.6153335140367304,0.7015430113506048,1.484282935448912,-0.5983153359260277,1.0000496556388598,-0.5299925355620094,0.8718376940103615,-0.7594119391034907,-0.386230108175064,-0.6358251144069244,-1.062195401107732,0.7444776801496585,-0.8495727388150922,-1.4959017410380022,-1.1191863245341958,-0.5379812334613044,0.8895510650118077,0.8336732763407122,-0.34997134571979743,-0.2855816721197114,-0.09145160235617969
8,8,1,ch1g8,24.0,54.0,26,14,0.0976824585091497,0.05546809429787247,0.13130414739684027,0.06552889624168645,0.022404810717918666,0.6380750032468555,0.7661490449695473,0.04986340571058867,0.9351322498953433,0.1160673629798954,0.028899918894050414,1.8234943938587187,0.10391189268832979,0.019382045571714634,0.356697808139921,0.22986793107772172,0.03520365503842897,0.7769407205075357,0.6654802408461654,2.073483014834433,2.047662495696577,5.427831038952126,1.213091324485056,2.2855096229628713,-0.4944034432376979,0.9806676100671452,-0.8866903437019305,0.9695201525195112,-0.8148800334013632,-0.2549259607782237,-0.5702962181652379,-1.0397905903898133,1.382552683396514,-0.9656401017949876,-1.5248016599320526,0.7043080693245228,0.2281678115082428,0.9394144707223964,-0.1014589735546311,-0.1665303598340339,-0.2918780405867375,0.16875709493725027
9,9,1,ch1g9,58.0,50.0,34,4,0.6828763818906296,0.003023015916849836,0.08902067523296331,0.38800600034959787,0.006459015139392621,2.183664426865602,1.213394595093454,0.051092068626411136,0.4511170525470706,0.2012582105525369,0.04828354497411924,0.4083867652912755,0.10163511478402382,0.016717876166071566,0.6842384286781138,0.5174340605340485,0.02511510416456888,0.7632854697230049,0.8232602045736486,3.4795322698840816,1.9465930929361592,9.151633315038058,2.110734455755817,3.502350667637553,-0.3927683284536741,0.9639497339010736,-0.2024519150238167,1.6523965344101408,-0.817903049318213,-0.343946636011187,-0.18229021781564,-1.0333315752504206,3.566217110262116,-0.7643818912424507,-1.4765181149579334,1.1126948346157983,-0.9852267835852112,0.8883224020959852,0.3496580789924395,-0.13445413733736705,-0.29509612070590163,0.8964342945670699
10,10,1,ch1g10,25.0,70.0,33,20,0.05621516308879215,1.2692658313376146,0.3294634261818222,0.20011346233987767,0.15154632540924062,4.219644983397427,0.9413708034890554,0.06001081772889305,0.3421079204392533,0.16008751200570281,0.15063290284428676,1.0409721422752056,0.48316180939431147,0.043780804337131274,0.6192387237199282,0.3681897500635479,0.3350473363314333,1.3102854392027272,20.212918991692135,7.64025437597669,2.260754131425438,8.99094276005175,2.437559823953604,8.308486016619923,-0.8759301378479856,1.007730538238205,-0.8216906387437448,1.708611697498933,0.4513627820194015,-0.6734100621930093,-0.3824036801555177,-0.88178524984118,-0.6534278731353113,-0.6042943792367479,-1.3258852121136466,0.0717226923405927,-0.0438559800961558,0.8283115843670922,0.0075501585531862,-0.03957449596749481,0.015946888533974392,-0.41385114463565725
11,11,1,ch1g11,25.0,76.0,0,6,0.026974464173826762,1.2637814016258806,0.7208574548756943,1.492912823999879,0.03913236037485357,0.43649137889579837,1.2335871434079217,0.8170502336343364,1.126736483087382,0.008365860322677832,0.0567079200526901,1.1909090168747885,0.3827723233140239,0.07812498669316448,0.3534560528947364,0.6289225230436658,0.45095938047618506,0.7656900773256798,20.364797701179217,2.316873627396939,5.643312572251872,3.0953328187616473,1.6790475417042303,6.619872852258782,-0.4931578145339617,0.9296055515450404,-0.4682345858490084,1.6816372333251062,-0.8124186196064791,0.0474473926826851,1.1105091438443613,-0.9209176102160336,-0.2169364942395129,-0.6126602395594257,-1.3825931321663367,-1.1191863245341958,-1.2774431235040775,0.0112613507327558,-1.1191863245341958,0.08177703991440051,-0.43501249194221064,-0.5752192672948455
