participantID,Age,Gender,NumOfNativeLanguages,TotalLanguages,Extroversion,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,total_gesture_space2D,total_body_entropy2D,total_body_variability2D,X_embeddings,Y_embeddings,total_distance,diff_in_gesture_space,diff_in_entropy,diff_in_variability,diff_in_age,diff_in_extrovet
52,21.0,Man / Männlich,1.0,3.0,53.0,rennen_g_ch3_g12_compr.mp4,ch3g12,13.0,3.0,rennen,rennen_g_ch3,0.5979403033902556,14.91593603487763,807.4593259117787,4.6767282,-0.19168799,785.9749227733956,0.2504847442474503,0.6148425560615145,627.1345999235733,0.0,7.0
23,35.0,Woman / Weiblich,1.0,4.0,43.0,Donner_g_ch2_g3_compr.mp4,ch2g3,4.0,2.0,Donner,Donner_g_ch2,1.6492303632373662,13.841585398615273,2385.2289552884586,1.8528262,3.0405746,957.6898958503416,0.3959580106729417,1.4476471483815168,518.529104365406,24.0,26.0
0,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,1.0,1.0,kalt,kalt_g_ch1,0.717716384748937,4.374678756241211,633.3384386243793,9.861269,9.1424885,,,,,,
16,27.0,Man / Männlich,1.0,2.0,30.0,Donner_g_ch1_g16_compr.mp4,ch1g16,17.0,1.0,Donner,Donner_g_ch1,0.99259183435611,15.815993875498494,991.9963160891136,3.3990397,1.5089465,288.8802741341202,0.11896517244428706,10.446885910327563,104.80374295716251,17.0,40.0
30,45.0,Woman / Weiblich,1.0,2.0,51.0,kalt_g_ch2_g10_compr.mp4,ch2g10,11.0,2.0,kalt,kalt_g_ch2,0.8802719792848084,13.263807752261926,1648.7215656609917,2.593917,1.5526048,1319.2568989275685,0.1963658900675994,10.500306122827551,451.2784343390042,24.0,6.0
0,,,,,,rennen_g_ch1_g0_compr.mp4,ch1g0,1.0,1.0,rennen,rennen_g_ch1,0.4739411914509303,16.841182994572783,222.52979300333163,3.5265749,0.19679323,,,,,,
37,52.0,Woman / Weiblich,2.0,3.0,74.0,leise_g_ch2_g17_compr.mp4,ch2g17,18.0,2.0,leise,leise_g_ch2,0.2387773443073045,0.6641039504450534,2441.6666666666692,11.752448,7.2751923,3453.0388898483675,0.2230907668659762,0.4060055420341526,2441.6666666666692,37.0,29.0
26,,Woman / Weiblich,,,,kalt_g_ch2_g6_compr.mp4,ch2g6,7.0,2.0,kalt,kalt_g_ch2,0.2785176713232893,4.716018604553135,550.2219907599651,10.485122,8.973815,674.8781195421658,0.4083525677314057,2.058974694031672,550.2219907599651,,
5,59.0,Man / Männlich,1.0,2.0,66.0,Donner_g_ch1_g5_compr.mp4,ch1g5,6.0,1.0,Donner,Donner_g_ch1,1.8229811918265315,14.93051304704068,2093.2363119140796,1.7656714,3.6560364,1544.3503314724346,0.11890417031690959,1.742583064910093,1260.8902233396075,1.0,20.0
26,,Woman / Weiblich,,,,rennen_g_ch2_g6_compr.mp4,ch2g6,7.0,2.0,rennen,rennen_g_ch2,0.431923749226786,16.494775195770963,221.46280551210452,5.1577697,-0.36474895,206.9768253035347,0.056085254873838974,0.16494827625846398,168.8884540433586,,
34,14.0,Man / Männlich,3.0,5.0,61.0,kalt_g_ch2_g14_compr.mp4,ch2g14,15.0,2.0,kalt,kalt_g_ch2,0.7398041428811534,13.380607886609084,477.46073136960615,4.329029,0.69882756,1021.826088943516,0.2795621695293379,0.1040784098231029,722.5392686303925,41.0,19.0
4,60.0,Woman / Weiblich,1.0,3.0,86.0,rennen_g_ch1_g4_compr.mp4,ch1g4,5.0,1.0,rennen,rennen_g_ch1,0.6904733177009612,16.03062694021855,181.77859600580223,4.4128137,0.20108876,18.523737010811917,0.07104163411514053,0.6714570928042782,12.013267955883805,28.0,26.0
12,25.0,Man / Männlich,1.0,4.0,55.0,Donner_g_ch1_g12_compr.mp4,ch1g12,13.0,1.0,Donner,Donner_g_ch1,1.444260821153572,14.603267066141385,2084.063104411826,1.9155365,3.191297,1298.9885744990063,0.11788240848628484,9.421941265425374,1060.4164434549803,0.0,21.0
4,60.0,Woman / Weiblich,1.0,3.0,86.0,kalt_g_ch1_g4_compr.mp4,ch1g4,5.0,1.0,kalt,kalt_g_ch1,0.8586623719623838,14.458919896249446,1415.424246049959,3.2439332,1.580875,287.9594090548004,0.2792039081751164,10.657677429041739,152.44487558603078,28.0,26.0
