time,X_NOSE,Y_NOSE,Z_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,X_RIGHT_EYE_OUTER.1,Y_RIGHT_EYE_OUTER.1,Z_RIGHT_EYE_OUTER.1,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,fileID,participantID,LEFT_EAR_speed,LEFT_WRIST_speed,RIGHT_HIP_speed,RIGHT_HEEL_speed,LEFT_INDEX_speed,LEFT_ANKLE_speed,RIGHT_EYE_OUTER_speed,RIGHT_SHOULDER_speed,RIGHT_FOOT_INDEX_speed,LEFT_HEEL_speed,RIGHT_ANKLE_speed,RIGHT_EYE_speed,LEFT_FOOT_INDEX_speed,LEFT_EYE_INNER_speed,RIGHT_WRIST_speed,LEFT_EYE_OUTER_speed,RIGHT_THUMB_speed,LEFT_SHOULDER_speed,RIGHT_PINKY_speed,RIGHT_ELBOW_speed,RIGHT_EYE_OUTER.1_speed,RIGHT_INDEX_speed,RIGHT_KNEE_speed,LEFT_EYE_speed,MOUTH_LEFT_speed,LEFT_KNEE_speed,MOUTH_RIGHT_speed,RIGHT_EAR_speed,LEFT_PINKY_speed,LEFT_HIP_speed,NOSE_speed,LEFT_ELBOW_speed,LEFT_THUMB_speed,Y_NOSE_velocity,Y_LEFT_EYE_INNER_velocity,Y_LEFT_EYE_velocity,Y_LEFT_EYE_OUTER_velocity,Y_RIGHT_EYE_OUTER_velocity,Y_RIGHT_EYE_velocity,Y_RIGHT_EYE_OUTER.1_velocity,Y_LEFT_EAR_velocity,Y_RIGHT_EAR_velocity,Y_MOUTH_LEFT_velocity,Y_MOUTH_RIGHT_velocity,Y_LEFT_SHOULDER_velocity,Y_RIGHT_SHOULDER_velocity,Y_LEFT_ELBOW_velocity,Y_RIGHT_ELBOW_velocity,Y_LEFT_WRIST_velocity,Y_RIGHT_WRIST_velocity,Y_LEFT_PINKY_velocity,Y_RIGHT_PINKY_velocity,Y_LEFT_INDEX_velocity,Y_RIGHT_INDEX_velocity,Y_LEFT_THUMB_velocity,Y_RIGHT_THUMB_velocity,Y_LEFT_HIP_velocity,Y_RIGHT_HIP_velocity,Y_LEFT_KNEE_velocity,Y_RIGHT_KNEE_velocity,Y_LEFT_ANKLE_velocity,Y_RIGHT_ANKLE_velocity,Y_LEFT_HEEL_velocity,Y_RIGHT_HEEL_velocity,Y_LEFT_FOOT_INDEX_velocity,Y_RIGHT_FOOT_INDEX_velocity,LEFT_EAR_acceleration,LEFT_WRIST_acceleration,RIGHT_HIP_acceleration,RIGHT_HEEL_acceleration,LEFT_INDEX_acceleration,LEFT_ANKLE_acceleration,RIGHT_EYE_OUTER_acceleration,RIGHT_SHOULDER_acceleration,RIGHT_FOOT_INDEX_acceleration,LEFT_HEEL_acceleration,RIGHT_ANKLE_acceleration,RIGHT_EYE_acceleration,LEFT_FOOT_INDEX_acceleration,LEFT_EYE_INNER_acceleration,RIGHT_WRIST_acceleration,LEFT_EYE_OUTER_acceleration,RIGHT_THUMB_acceleration,LEFT_SHOULDER_acceleration,RIGHT_PINKY_acceleration,RIGHT_ELBOW_acceleration,RIGHT_EYE_OUTER.1_acceleration,RIGHT_INDEX_acceleration,RIGHT_KNEE_acceleration,LEFT_EYE_acceleration,MOUTH_LEFT_acceleration,LEFT_KNEE_acceleration,MOUTH_RIGHT_acceleration,RIGHT_EAR_acceleration,LEFT_PINKY_acceleration,LEFT_HIP_acceleration,NOSE_acceleration,LEFT_ELBOW_acceleration,LEFT_THUMB_acceleration,LEFT_EAR_jerk,LEFT_WRIST_jerk,RIGHT_HIP_jerk,RIGHT_HEEL_jerk,LEFT_INDEX_jerk,LEFT_ANKLE_jerk,RIGHT_EYE_OUTER_jerk,RIGHT_SHOULDER_jerk,RIGHT_FOOT_INDEX_jerk,LEFT_HEEL_jerk,RIGHT_ANKLE_jerk,RIGHT_EYE_jerk,LEFT_FOOT_INDEX_jerk,LEFT_EYE_INNER_jerk,RIGHT_WRIST_jerk,LEFT_EYE_OUTER_jerk,RIGHT_THUMB_jerk,LEFT_SHOULDER_jerk,RIGHT_PINKY_jerk,RIGHT_ELBOW_jerk,RIGHT_EYE_OUTER.1_jerk,RIGHT_INDEX_jerk,RIGHT_KNEE_jerk,LEFT_EYE_jerk,MOUTH_LEFT_jerk,LEFT_KNEE_jerk,MOUTH_RIGHT_jerk,RIGHT_EAR_jerk,LEFT_PINKY_jerk,LEFT_HIP_jerk,NOSE_jerk,LEFT_ELBOW_jerk,LEFT_THUMB_jerk,arms,upper_body,lower_body,head_mov
0.0,-0.0050453148342701,0.4070060474988782,-0.11741421345427,0.0002446317450047,0.4365978105310595,-0.1083877116694076,0.0005836105238378,0.4369031005622769,-0.1079198136993171,0.0005221013254166,0.4372350798212953,-0.1078809228291253,-0.023313980026862,0.4309284007153704,-0.1018951245030799,-0.0230034461989136,0.4316681700079763,-0.1024845370220326,-0.0230144178308387,0.4326348464505083,-0.1018074626433154,0.0557346434500866,0.4347823496830351,-0.0425342592166779,-0.0518479178687898,0.418506083401078,-0.0193990598984106,0.0212223041296036,0.3913785154268358,-0.0939021260818119,-0.0104116455169888,0.3852213717134883,-0.0863448544109946,0.1411799637534438,0.2879945942043106,-0.0231889175194971,-0.0994454089196139,0.2778663350312245,0.0235287150136931,0.1767867052297896,0.0997972286620442,-0.0318768074401496,-0.1405990774103092,0.0655992584945576,0.0528619518495935,0.1321041658684479,-0.0489886676727829,-0.101038377887013,-0.1656311486929796,-0.1120479523945784,-0.011931948436918,0.1165683023182964,-0.1123590213149229,-0.126845383728443,-0.169197041109965,-0.1821333906727753,-0.0247560362137405,0.0835091016724821,-0.1009161732981353,-0.1451292253346227,-0.1555812877747531,-0.1734847746607255,-0.0471978898331524,0.1147104624253906,-0.0562387883231951,-0.1068024710324794,-0.1535762058180382,-0.123856169706198,-0.0226243422275514,0.0851842431711579,-0.1139123502040138,-0.0105497314550834,-0.0853106022724443,-0.1025638386539991,0.0113079390295246,0.0736431340967253,-0.435207854180334,-0.0112544423832324,-0.0785588462003364,-0.4119319671523324,0.0261833415171887,0.110105651738977,-0.7171498520771247,0.0649063900135771,-0.0657402036636851,-0.6957989138049187,0.1046466737813453,0.1177285066328124,-0.7519098801722217,0.065237247375996,-0.0677114169958108,-0.7314355684994007,0.1066677646572776,0.148346487002871,-0.787412677220684,-0.0254794465781647,-0.1136639171904668,-0.7659604880442974,0.0222008776787106,Donner_g_ch2_g13_compr.mp4,ch2g13,7.027994807979441e-06,6.945869386536452e-05,1.4819548219523516e-06,9.303979012381282e-06,9.069969891408808e-05,1.7545314031638623e-05,2.547492592948039e-05,1.236042093140696e-05,9.4342262148948e-06,1.834995907122673e-05,9.436912367672297e-06,2.5606001315953567e-05,1.7718042330148303e-05,2.2150371925577023e-05,1.865528283390872e-05,2.1877254774038666e-05,-2.8936090613342007e-05,1.479209999781444e-05,1.9081779215916183e-05,-2.088120801813022e-06,2.552397622450876e-05,2.2354586286697803e-05,9.679835913771048e-06,2.2125003109536797e-05,1.9688488085494156e-05,8.707494217373748e-06,2.3317694948629717e-05,2.2480172143872973e-05,8.317540346187585e-05,1.4797077403231864e-06,2.594444258917594e-05,2.3192990393677867e-05,7.470032278876017e-05,-2.642881315630219e-06,-6.556056898307498e-06,-6.770877059478624e-06,-7.113056117514167e-06,1.6682415895717989e-06,1.6131630785294426e-06,1.4859384308786623e-06,-3.5507074171303916e-05,1.3367651962029864e-05,-1.3685742599265514e-05,-2.0063563379856866e-06,1.6425007386690373e-05,3.060268364899691e-05,0.0001906488824533,5.688669375694297e-05,1.0303173326380756e-05,-0.0001035664511158,-8.493267759924904e-05,-0.0002240129849952,-6.285379542999088e-05,-0.0002403967671884,-3.496201354173618e-05,-0.0001382890845776,8.940359439250264e-06,-9.500674653469564e-06,9.398420570393728e-06,-1.8981829473233196e-05,-8.900156366587423e-06,-4.761237801478661e-05,-8.812768931667582e-06,-4.685227058777666e-05,-3.577103088441584e-05,-6.560133369556825e-05,3.797225243219932e-06,-5.369249110428232e-06,1.0626316374857604e-06,6.2786856009521624e-06,-8.225015697431558e-06,1.1259368293094611e-05,7.489389539139715e-06,9.46315806416916e-06,5.990058929896224e-06,1.2089031074275108e-05,6.42667568991772e-06,7.503321116148053e-06,1.1600461795545984e-05,6.778101840732106e-06,-2.6584762031116773e-06,6.756618866761438e-06,1.6409195429482654e-05,-1.8280961356084788e-06,-1.215223492930428e-06,1.278983382327198e-06,7.518731085615235e-06,-1.1520088908283976e-06,8.615878491094798e-06,6.803336675408442e-06,5.46498884679569e-06,4.9640075052188935e-06,6.224939470596108e-06,6.162419704851846e-06,-5.195183730439272e-06,1.081408505927102e-06,6.9886943026342595e-06,-1.1306583586097815e-06,-6.382809129775916e-06,2.199948241618036e-06,-3.445823157177848e-06,7.811550810352686e-07,4.353900053620243e-06,-5.463553958437931e-06,7.721316553172334e-06,4.142494399450362e-06,5.412393561100421e-06,3.963101675091265e-06,8.263966069475443e-06,4.466576968141615e-06,4.145397799604446e-06,8.07840919796153e-06,3.818875439522795e-06,-1.5154875584620956e-06,3.814336144951568e-06,1.1693628465382237e-05,-1.4420528848168336e-06,-5.604432289632807e-07,9.803615545775251e-07,4.157357850831925e-06,-2.644869618276028e-07,5.792450576181039e-06,3.8338131987794485e-06,2.944560192664746e-06,3.53178023537353e-06,3.303040465783842e-06,3.5189096095869217e-06,-3.5031125404835636e-06,7.939152816698579e-07,3.796813683141847e-06,-4.182479169426403e-07,-4.109762168717585e-06,no movement,no movement,no movement,no movement
16.666666666666668,-0.0052355870804364,0.406994163337015,-0.1159802897974199,0.0001847050571567,0.4365735971825402,-0.1070979612805958,0.000523689260045,0.4368785062599445,-0.1066292592886414,0.0004634317483849,0.4372093088941463,-0.106602291506581,-0.0233363079343872,0.4309253639625743,-0.1004326408256988,-0.0230246621570816,0.431665384285319,-0.1010164201454742,-0.0230360976639385,0.432631783359495,-0.1003410045378224,0.0556997180194123,0.4346665630391228,-0.0420162324721138,-0.0515845645963626,0.4185182334561827,-0.0181676496623817,0.0209924965915857,0.3913334536407101,-0.0928119218957131,-0.010539106410743,0.385203887675925,-0.0850508372787828,0.1409801436924164,0.2879211640681822,-0.0228696165520922,-0.0993315034115505,0.2779275470198015,0.0246653800478849,0.1771597604533047,0.0999741018287605,-0.0322778049109284,-0.1406099498152962,0.0656326919987728,0.0527001600845966,0.1329651922118948,-0.0491448080073574,-0.1024794292957464,-0.1658410726558884,-0.1123684628374865,-0.0127006642382586,0.1178700143207933,-0.1127206153085759,-0.1285379635587144,-0.1695240866271483,-0.1827651384772321,-0.0254179571945573,0.0846680464220694,-0.1012532662113682,-0.1470179800762759,-0.1559485640712112,-0.1741688975106833,-0.048022451404279,0.1155612759941981,-0.0564926442059557,-0.108381001583027,-0.1538523701191304,-0.1242795093171217,-0.0224875589598901,0.0851281840545093,-0.1138779027364744,-0.0106699470729015,-0.0852530525472076,-0.1026001546955103,0.0114252408307724,0.0736839502399855,-0.4351514620919473,-0.011932004683915,-0.0776051246896053,-0.4120241046181828,0.0260241756776405,0.1099705861855038,-0.7171665772848044,0.0634796237204072,-0.065146009304268,-0.696083727274229,0.1041817104482523,0.1175455292994162,-0.751924865848052,0.0637260986663752,-0.0671752035307453,-0.7317182301902302,0.1061606424421863,0.1478345642244456,-0.7875003755025312,-0.0268753788625689,-0.1131086359381716,-0.7662614680497696,0.0217761201538254,Donner_g_ch2_g13_compr.mp4,ch2g13,2.229899665834992e-05,5.448461859429949e-05,5.5607557782135985e-06,3.295923619434067e-05,6.567891631217566e-05,5.932656611225913e-05,5.502266733081633e-05,4.90614735840938e-05,3.190736065253075e-05,6.315243151784582e-05,3.364340889172012e-05,5.520044476366722e-05,6.135426465062675e-05,4.909048706870901e-05,1.715962999935717e-05,4.8766749278417984e-05,3.710660905807362e-05,8.946006980201795e-06,2.376532093172162e-05,8.826844618511171e-06,5.518664497116724e-05,2.7414046996742976e-05,4.14561615522153e-05,4.914732863384005e-05,4.189837089646645e-05,2.7621792993682816e-05,4.845616281037903e-05,4.734295329695405e-05,6.891528580584728e-05,5.6273841751029175e-06,5.384942222724803e-05,2.1619980044813117e-05,5.6241084131210935e-05,-6.8965105117488174e-06,-1.5053011122420964e-05,-1.5129588037591607e-05,-1.5871703025047185e-05,-4.073880794344842e-06,-3.892194202768885e-06,-3.989701487248973e-06,-7.162238646077443e-05,-4.668544006587389e-06,-2.6489489806670324e-05,-1.3312357050145305e-05,-7.189381608295163e-05,9.918463315480417e-06,1.9233453107366443e-05,-3.926753514366741e-05,-9.84416228773262e-05,-0.0001968373559892,-0.0001908177347723,-0.0003575956279077,-0.0001906598316865,-0.0003896839197126,-0.0001426065217933,-0.000253846734708,2.1998253025839005e-05,-2.3155250979859756e-05,3.8960892814507864e-05,-6.061761093625901e-05,-6.974562325130629e-06,-0.00019890856485,-5.29898908081983e-06,-0.0001975259467431,-4.539408081363242e-05,-0.0002005915936724,8.520379195757296e-06,-5.428743519192664e-06,2.1896780451754593e-06,1.2493149446933312e-05,-1.039853247314525e-05,2.1764597337341324e-05,1.6233271109532022e-05,1.9877660538608344e-05,1.182414078448715e-05,2.3310861647907916e-05,1.2781295297527425e-05,1.6255205907894904e-05,2.3013179128396657e-05,1.4890156315163768e-05,3.2305270820913784e-06,1.4877727630136872e-05,3.6870796685668646e-05,-2.596144332086472e-06,6.843939036570609e-06,8.641217185075802e-06,1.629603570556473e-05,7.107476515962296e-06,1.645920832094241e-05,1.4927504768021565e-05,1.2494347083335537e-05,1.0089396544808869e-05,1.4071908802911824e-05,1.3907368344455615e-05,-5.024235468581011e-06,2.2251724242426684e-06,1.5480634211166806e-05,4.370489553304018e-07,-7.1120224268365455e-06,1.1090206730037545e-06,2.628857361300952e-06,1.259739636345642e-07,5.266381999724543e-07,2.8388373662140283e-06,5.551102924343259e-07,1.845075416639772e-06,1.8883518567804772e-06,4.924109597876896e-07,5.659740991863315e-07,5.310251194532954e-07,1.8444643412594983e-06,9.069382323249424e-07,1.7777241123937654e-06,5.241421783843228e-06,1.7930689561953202e-06,4.118318495986039e-06,5.539102824197393e-07,5.865482161973235e-06,4.098059942525914e-06,1.8522525906657084e-06,5.8791353662302565e-06,3.321022939259107e-07,1.772400712576144e-06,1.8012247408206013e-06,5.247443991202855e-07,1.9615224484425763e-06,1.8407824363042124e-06,2.715232708928061e-06,1.262980570886258e-07,1.9584907688694983e-06,1.4526857432042435e-06,2.743613154251027e-06,no movement,no movement,no movement,no movement
33.333333333333336,-0.0053946858048228,0.4069889362726578,-0.1145803645003268,0.0001262261240583,0.4365548307973937,-0.1058152169540768,0.0004662236448178,0.436859694331773,-0.1053453492308517,0.0004068459930035,0.4371893671919366,-0.1053269562188998,-0.023350141530678,0.4309232211569815,-0.0990000722775776,-0.0230372234576458,0.4316633958037359,-0.0995794609562189,-0.0230483677499973,0.4326296843165441,-0.0989041613163569,0.055688299481421,0.4345578957878811,-0.0414361737641519,-0.051342512523794,0.4185109346667605,-0.0169462933825776,0.0208151481464988,0.3912976189365789,-0.0917222050467281,-0.0106267634701926,0.3851875020994897,-0.08378036759422,0.1407881213843735,0.2878298145305892,-0.0227722120720586,-0.0991501808299213,0.2779134258023215,0.0259203059511998,0.1774865390847424,0.1000757316048762,-0.0328849853618628,-0.1405726661997436,0.0655236471127824,0.052930098561045,0.1337529370891565,-0.0492021254278451,-0.1040657047372532,-0.1660108923477789,-0.1126948169217147,-0.0128499042480144,0.1190336017626813,-0.1129116699987023,-0.1303490058599923,-0.1697501089187506,-0.1833216045620647,-0.025411320541203,0.0856699852805223,-0.1014572076347681,-0.1488886945409309,-0.156229903490562,-0.1747738358238445,-0.0480970914032403,0.1163476934225482,-0.0566185868714372,-0.1100397213367284,-0.1540651567053559,-0.1246853664815242,-0.0225408820329746,0.0850721249378606,-0.1138434552689349,-0.0107901626907197,-0.0851955028219709,-0.1026364707370214,0.0115425426320202,0.0737247663832457,-0.4350950700035607,-0.0126095669845977,-0.0766514031788741,-0.4121162420840334,0.0258650098380924,0.1098355206320306,-0.7171833024924842,0.0620528574272372,-0.0645518149448511,-0.6963685407435393,0.1037167471151593,0.1173625519660202,-0.7519398515238825,0.0622149499567543,-0.0666389900656797,-0.7320008918810595,0.1056535202270948,0.1473226414460203,-0.7875880737843783,-0.0282713111469733,-0.1125533546858764,-0.766562448055242,0.0213513626289402,Donner_g_ch2_g13_compr.mp4,ch2g13,3.293911810070442e-05,5.147223583321107e-05,8.079943831383896e-06,4.684027373130619e-05,5.7438050852212965e-05,8.351019994186105e-05,7.47162829991037e-05,7.265136398040333e-05,4.5072588238173495e-05,8.900779388004032e-05,4.783644612256863e-05,7.491777655195702e-05,8.722759595925048e-05,6.729429532658389e-05,2.6285845960299014e-05,6.697367771128253e-05,8.204138857160517e-05,6.914207617418432e-06,3.743177438209959e-05,2.2642110810577556e-05,7.495679096814906e-05,4.1381204783544006e-05,5.9481656649659454e-05,6.738597419756406e-05,5.755602141089769e-05,3.910306680787261e-05,6.594591454895461e-05,6.447258097666542e-05,6.638550017997916e-05,8.184367024210321e-06,7.286996467158736e-05,2.37451192276711e-05,5.1492122319479985e-05,-5.5370066304242096e-06,-1.6906034289616042e-05,-1.686650455288843e-05,-1.783460924943348e-05,-4.451078255764382e-06,-4.2015396735672806e-06,-4.254787685309388e-06,-9.17318274688505e-05,-1.5047657288832518e-05,-3.0545663601951005e-05,-1.7036078156717e-05,-0.0001100096943897,-2.1523694449407976e-05,-3.046024831033196e-05,-0.0001286508145721,-9.474534133855226e-05,-0.0002678013607447,-0.0001806549369138,-0.000441491729037,-0.0002032563101511,-0.0004830297357593,-0.0001393275788474,-0.000332794285962,3.1106460111408267e-05,-3.270947459295857e-05,5.649539956491209e-05,-8.724050732503669e-05,-9.079777551741015e-06,-0.0002859890139983,-6.897415996354333e-06,-0.000284135531412,-6.289911133703407e-05,-0.0002853044850383,1.0218207526441167e-05,-2.415799526596396e-06,2.4011178712274325e-06,1.318340580352635e-05,-7.326974826914732e-06,2.293259290814696e-05,1.8861461275049605e-05,2.2538428389179575e-05,1.2499665482320902e-05,2.451213668727501e-05,1.347896215419093e-05,1.888362944205109e-05,2.4584391109118504e-05,1.7450685831126825e-05,9.421602205732028e-06,1.74561930032244e-05,4.311153557692225e-05,-1.828677569937971e-06,1.380147828292578e-05,1.3673156927363329e-05,1.893473143191342e-05,1.4095158774670831e-05,1.7068175265100254e-05,1.7482719266456338e-05,1.505042953145392e-05,1.092971742472101e-05,1.6798091797398205e-05,1.644491437917226e-05,-1.952542989152625e-06,2.43682634844883e-06,1.8244020855157716e-05,2.250767889370177e-06,-4.0397607973114e-06,4.67580181177594e-07,5.7048123493147725e-06,-2.718429810373978e-07,-1.943274192040251e-06,7.127504485395719e-06,-3.70188697616954e-06,3.502004876064784e-07,-3.8999538561657155e-07,-1.7199184610754115e-06,-4.01105375377035e-06,-2.006877892048534e-06,3.4852822829813573e-07,-3.4506387801114485e-06,4.5825725504827026e-07,8.25412566161261e-06,4.81960672446786e-07,-6.162408336759902e-07,1.7612681094544076e-06,8.549983281369105e-06,5.240327488758096e-06,3.526246959170268e-07,8.380650028046266e-06,-3.0049151713669845e-06,4.422827352299107e-07,1.0152434141365171e-06,-1.3314777993327572e-06,1.0098674518915691e-06,6.595911418263475e-07,5.836050046263122e-06,-2.7949979205907316e-07,7.253343162072377e-07,2.3228788285653374e-06,6.2250305413872985e-06,no movement,no movement,no movement,no movement
50.0,-0.0055475877819439,0.4069907358952881,-0.1131764275354255,4.901588065335976e-05,0.436542286658733,-0.1045137498953725,0.0003907497136974,0.4368473049609823,-0.1040426258709382,0.0003319340019165,0.4371759383423403,-0.1040299116289129,-0.0233735266467433,0.430923759096369,-0.0975653368247479,-0.023059204009211,0.4316640052319672,-0.0981411714600773,-0.0230695894798555,0.4326303163989986,-0.0974647664990045,0.0556833133601317,0.4344590338128994,-0.0407877190875011,-0.0511230192900808,0.4184924364831129,-0.0157067454295182,0.0206643523199097,0.3912713711438388,-0.0905994142872715,-0.010693853942692,0.3851744953909917,-0.0824933009263922,0.1405911618497818,0.287743038497659,-0.022799759230576,-0.0989132245792873,0.2778417077331283,0.0272722319082556,0.1777788119798944,0.1001674069975252,-0.0335713116074785,-0.1404765030399308,0.0653105491023911,0.0535220785763791,0.1344725481621808,-0.0491410034641217,-0.1055585491162727,-0.1661378343475214,-0.1130218489009198,-0.0124178928066151,0.1200706409996739,-0.1129337389227357,-0.1320198608366685,-0.1698888036417558,-0.1838139537215014,-0.0247804255371622,0.0865319765267936,-0.1015241220514142,-0.1505085428538966,-0.1564361723090234,-0.1753132621091467,-0.0474881233885012,0.1170721254048488,-0.056607416218205,-0.1115480576558478,-0.1542196167210219,-0.1250720998972719,-0.0248131130866523,0.0850160658212119,-0.1138090078013955,-0.0109103783085378,-0.0851379530967342,-0.1026727867785325,0.0116598444332681,0.0737655825265059,-0.435038677915174,-0.0132871292852804,-0.0756976816681431,-0.4122083795498839,0.0257058439985443,0.1097004550785573,-0.717200027700164,0.0606260911340672,-0.0639576205854341,-0.6966533542128496,0.1032517837820662,0.117179574632624,-0.751954837199713,0.0607038012471335,-0.0661027766006142,-0.7322835535718891,0.1051463980120033,0.146810718667595,-0.7876757720662256,-0.0296672434313777,-0.1119980734335812,-0.7668634280607142,0.0209266051040551,Donner_g_ch2_g13_compr.mp4,ch2g13,4.03671859051495e-05,5.7228964742918854e-05,9.39269900896388e-06,5.296427543649894e-05,6.158647381955894e-05,9.416631936679704e-05,8.725884586989848e-05,8.655921446520122e-05,5.0942503624620185e-05,0.0001002915796505,5.407859201991544e-05,8.74691567465792e-05,9.93375298249852e-05,7.918821003631019e-05,4.328870209398665e-05,7.890874639225942e-05,0.0001111406283232,8.01470388189802e-06,5.7666755916541343e-05,3.861385332888673e-05,8.754891761719375e-05,6.176957871677876e-05,6.680892283309559e-05,7.927960686659071e-05,6.859975611654042e-05,4.479710186814255e-05,7.79809366271186e-05,7.593768996577217e-05,7.243376087921145e-05,9.50989936817859e-06,8.549820773389936e-05,2.8530576271887136e-05,5.680036406761808e-05,-3.472876236164496e-07,-1.4034802015277746e-05,-1.39143878581909e-05,-1.4964145150224034e-05,-1.103637807621387e-06,-8.991802188985576e-07,-8.957470073527607e-07,-9.902538227690056e-05,-1.922491867980775e-05,-2.8138335958018004e-05,-1.516625181169576e-05,-0.0001086224651445,-5.7998327312544265e-05,1.230117979689714e-05,-0.0002061491266215,-7.866135365114741e-06,-0.0003176452740158,-8.623426602997275e-05,-0.0004846168816058,-0.0001319356077905,-0.000531870100693,-5.449606154486392e-05,-0.0003804804983673,3.7164921963193255e-05,-3.910013089683067e-05,6.446492086732303e-05,-0.000102073231364,-1.422328426869534e-05,-0.0003229318927758,-1.2261083228172814e-05,-0.000320678000587,-8.542242667678795e-05,-0.0003303512607302,9.71845763368882e-06,2.5181342081796727e-06,1.953707593841226e-06,9.911145401005091e-06,-8.126976120571274e-07,1.7447484427119977e-05,1.7059972434085316e-05,1.9615787094931577e-05,9.48296680447926e-06,1.857558229149088e-05,1.011855345634472e-05,1.7077192931346334e-05,1.9107037805905147e-05,1.5982293597786867e-05,1.5399330804826643e-05,1.601048958473773e-05,3.899684969326855e-05,-2.1648966810677334e-09,1.9501989586324975e-05,1.674319281241126e-05,1.7127234287987123e-05,1.969351142765571e-05,1.2524145273302769e-05,1.599723256847928e-05,1.4340077184662314e-05,8.688198317386061e-06,1.578974747312667e-05,1.5182124049176057e-05,2.914657814205446e-06,1.977810490400477e-06,1.6843645975011994e-05,4.103472637435536e-06,1.4582933841463146e-06,1.2836495350159696e-07,6.519966655321338e-06,-4.708889444550305e-07,-3.312240072282084e-06,8.401932809172214e-06,-5.7207190045735235e-06,-5.580563214419226e-07,-1.7151915603833654e-06,-2.924573475389119e-06,-6.1850859568667355e-06,-3.411811894165974e-06,-5.592667733833616e-07,-5.627495429372317e-06,-3.408068483576161e-07,8.48986354749183e-06,-3.17043429834629e-07,-3.219902973690758e-06,2.3278058296329062e-06,8.4788094062846e-06,4.9346136110738635e-06,-5.583580635159875e-07,8.210041308852012e-06,-4.678108821915178e-06,-3.602175859939925e-07,4.664454852601412e-07,-2.2908813081476488e-06,3.284536090738444e-07,-1.52086692390468e-07,6.629915968884703e-06,-4.829442369749196e-07,-7.52669709788933e-08,2.442142903130821e-06,7.172658815376034e-06,no movement,no movement,no movement,no movement
