participantID,Age,Gender,NumOfNativeLanguages,TotalLanguages,Extroversion,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,total_gesture_space2D,total_body_entropy2Daggregated,total_body_variability2Daggregated,X_embeddings,Y_embeddings,total_distance,diff_in_gesture_space,diff_in_entropy,diff_in_variability,diff_in_age,diff_in_extrovet
27,13.0,Woman / Weiblich,2.0,5.0,73.0,Donner_g_ch2_g7_compr.mp4,ch2g7,8.0,2.0,Donner,Donner_g_ch2,1.3581600220980727,2.452002836332418,778.8167663549345,-2.3517468,0.46711805,447.92396322586046,0.09300872000812954,0.031794200727846444,274.92779669944457,,
56,21.0,Man / Männlich,2.0,2.0,80.0,rennen_g_ch3_g16_compr.mp4,ch3g16,17.0,3.0,rennen,rennen_g_ch3,0.5710685503017627,2.449514451641172,55.53287518900424,-3.7254245,-2.9911587,419.13411457527377,0.10867437144298825,0.3443513033455843,146.02214479058264,1.0,50.0
22,59.0,Woman / Weiblich,1.0,3.0,69.0,rennen_g_ch2_g2_compr.mp4,ch2g2,3.0,2.0,rennen,rennen_g_ch2,0.3422149107267246,2.7907308385666725,419.4635082529378,-3.7218127,-2.652406,362.24131456102464,0.11120590958705792,0.09467196500630504,261.81492368360983,37.0,19.0
1,26.0,Woman / Weiblich,1.0,3.0,40.0,Donner_g_ch1_g1_compr.mp4,ch1g1,2.0,1.0,Donner,Donner_g_ch1,1.0330680436436337,2.880487878848849,450.0000000000008,10.290411,4.797845,481.7257377362394,0.3291754172667094,0.01736576340005902,168.8120438804915,,
22,59.0,Woman / Weiblich,1.0,3.0,69.0,kalt_g_ch2_g2_compr.mp4,ch2g2,3.0,2.0,kalt,kalt_g_ch2,0.7553755651179971,1.2439698328433757,1946.998322838472,-1.2954663,-0.96500427,623.3228011951411,0.1700352327460053,0.38897567998752103,162.52146983956732,37.0,19.0
33,55.0,Man / Männlich,1.0,2.0,80.0,leise_g_ch2_g13_compr.mp4,ch2g13,14.0,2.0,leise,leise_g_ch2,0.5572636839351472,1.9390884309547003,918.6342519680442,-1.6403077,-2.6312392,1300.7604648444694,0.13834628156472034,0.4231738296974932,918.6342519680442,31.0,39.0
38,9.0,Woman / Weiblich,1.0,2.0,48.0,Donner_g_ch2_g18_compr.mp4,ch2g18,19.0,2.0,Donner,Donner_g_ch2,1.7715415758211692,2.7747096955972133,453.19714730015113,-3.40598,0.8563052,402.3498912122604,0.30261081314829474,0.016027808925560105,7.076458877098844,43.0,26.0
58,28.0,Man / Männlich,1.0,2.0,60.0,langsam_g_ch3_g18_compr.mp4,ch3g18,19.0,3.0,langsam,langsam_g_ch3,0.73724305589886,2.782058532478033,475.1607914988132,-3.3031144,-0.9908684,339.30318577099354,0.05926395786697847,0.16220150877875295,53.61634008483526,22.0,30.0
20,,,,,,leise_g_ch1_g20_compr.mp4,ch1g20,21.0,1.0,leise,leise_g_ch1,0.1760033229053797,1.050575079883999,1549.9318981454967,10.2238865,0.576585,1145.8584362857343,0.1570255061934512,0.02518667094394411,123.91698990697955,,
53,32.0,Woman / Weiblich,1.0,3.0,50.0,kalt_g_ch3_g13_compr.mp4,ch3g13,14.0,3.0,kalt,kalt_g_ch3,0.8686045357069574,1.766638997208885,1233.333333333332,10.754142,2.8376653,1381.198383102217,0.25981579909064423,0.8788483658697016,791.6666666666631,11.0,3.0
45,43.0,Woman / Weiblich,1.0,4.0,50.0,leise_g_ch3_g5_compr.mp4,ch3g5,6.0,3.0,leise,leise_g_ch3,0.4926345440037805,0.7513983113190364,2406.6266540225724,10.098453,0.40787002,3067.627930658119,0.2025024383571296,1.9786582792221905,2163.3282744370986,15.0,4.0
15,44.0,Woman / Weiblich,1.0,5.0,70.0,langsam_g_ch1_g15_compr.mp4,ch1g15,16.0,1.0,langsam,langsam_g_ch1,0.8278048746924972,2.8274204364287625,555.9205150447442,-4.4332795,-0.3346252,467.4086379579984,0.009248304279156239,0.025558768438652457,404.3707085244042,33.0,30.0
31,36.0,Woman / Weiblich,1.0,5.0,12.0,rennen_g_ch2_g11_compr.mp4,ch2g11,12.0,2.0,rennen,rennen_g_ch2,0.5923829005981677,2.705270399193047,151.68803268306593,-3.1413915,-3.7652984,354.4226520062958,0.05232714904261759,0.11944039240252424,286.6529956759715,9.0,39.0
2,24.0,Prefer not to say / Keine Angabe,1.0,7.0,17.0,langsam_g_ch1_g2_compr.mp4,ch1g2,3.0,1.0,langsam,langsam_g_ch1,0.5211240596888447,2.8543433858418563,239.76840677805816,-3.2712786,-3.9347208,220.18918848554992,0.08469109250566376,0.07695849133858212,200.89539414575657,2.0,23.0
19,57.0,Woman / Weiblich,1.0,2.0,39.0,leise_g_ch1_g19_compr.mp4,ch1g19,20.0,1.0,leise,leise_g_ch1,0.3330288290988309,1.0757617508279431,1426.0149082385171,9.919357,0.22267523,1938.7808236602991,0.17234303680231555,0.6870443013214618,1426.0149082385171,38.0,25.0
24,66.0,Woman / Weiblich,1.0,5.0,60.0,langsam_g_ch2_g4_compr.mp4,ch2g4,5.0,2.0,langsam,langsam_g_ch2,0.6101919244775156,2.4540319255003316,664.3013595472241,-4.646198,-0.615872,1888.1665501514528,0.6471237059302732,0.4230448771778632,319.0290569178877,31.0,17.0
54,26.0,Non-binary / Nicht-binär,1.0,2.0,70.0,leise_g_ch3_g14_compr.mp4,ch3g14,15.0,3.0,leise,leise_g_ch3,0.4821933834387193,1.3500512732174712,0.0,-1.3601234,-2.6471443,1155.004151492729,0.050052211915945,0.6488097818030256,816.6666666666683,6.0,20.0
6,24.0,Woman / Weiblich,1.0,3.0,71.0,langsam_g_ch1_g6_compr.mp4,ch1g6,7.0,1.0,langsam,langsam_g_ch1,0.6996086688957369,2.8139073335683062,766.8125867575953,-3.7737148,-1.8026738,582.7476307388739,0.29591555398650304,0.03249375251637021,424.83215269163657,35.0,5.0
11,25.0,Woman / Weiblich,1.0,4.0,76.0,langsam_g_ch1_g11_compr.mp4,ch1g11,12.0,1.0,langsam,langsam_g_ch1,0.2417254450011217,0.0,0.0,-1.694573,-2.8559823,829.6482970503254,0.5504583203691419,2.7610779163719585,393.31691166627286,0.0,6.0
35,15.0,Man / Männlich,2.0,4.0,43.0,rennen_g_ch2_g15_compr.mp4,ch2g15,16.0,2.0,rennen,rennen_g_ch2,1.3332030775950603,2.4330476445343217,161.9327706865466,-3.8593695,0.79242486,466.1861446588957,0.0712718194252262,0.329314545921628,57.30379658174937,1.0,18.0
41,29.0,Woman / Weiblich,1.0,3.0,50.0,leise_g_ch3_g1_compr.mp4,ch3g1,2.0,3.0,leise,leise_g_ch3,0.4681719869257685,2.072904641892672,750.0000000000009,9.235854,-0.34794995,4.845488612236101,0.1541060469166723,0.49279161410684136,3.387278734445772,,
57,50.0,Woman / Weiblich,1.0,2.0,30.0,kalt_g_ch3_g17_compr.mp4,ch3g17,18.0,3.0,kalt,kalt_g_ch3,0.7986542803771879,1.4035980213865342,1658.3333333333285,-1.361985,-0.98407453,1737.5636404814377,0.033593899515918846,1.0032701410798508,1658.3333333333285,29.0,50.0
49,50.0,Man / Männlich,1.0,3.0,80.0,langsam_g_ch3_g9_compr.mp4,ch3g9,10.0,3.0,langsam,langsam_g_ch3,1.251284402989284,2.84943341534931,508.8698927116237,-4.225153,0.59437335,342.1814667595307,0.22938727950818438,0.19119278821450392,272.0572628043217,22.0,52.0
50,62.0,Man / Männlich,1.0,2.0,75.0,leise_g_ch3_g10_compr.mp4,ch3g10,11.0,3.0,leise,leise_g_ch3,0.3802900209226335,0.8217875378695645,2541.666666666674,9.806745,0.051898386,2645.919326148041,0.6846279749959792,0.5336153721913275,971.6741369997574,12.0,5.0
28,80.0,Woman / Weiblich,1.0,1.0,80.0,leise_g_ch2_g8_compr.mp4,ch2g8,9.0,2.0,leise,leise_g_ch2,0.1948531373639052,2.199466730741909,0.0,8.411885,-0.16065904,11.425691139756966,0.4805129167633325,0.43709298603527746,0.0,67.0,7.0
1,26.0,Woman / Weiblich,1.0,3.0,40.0,langsam_g_ch1_g1_compr.mp4,ch1g1,2.0,1.0,langsam,langsam_g_ch1,0.4364329671831809,2.777384894503274,38.87301263230159,-3.4604354,-3.992961,225.14392419423373,0.3352056821207158,0.11641468481124795,122.14228454757853,,
32,24.0,Woman / Weiblich,1.0,4.0,41.0,rennen_g_ch2_g12_compr.mp4,ch2g12,13.0,2.0,rennen,rennen_g_ch2,0.5067672740046956,2.766757801928988,434.4344983232043,-4.738406,-0.64277464,289.1046206451595,0.0856156265934721,0.061487402735940666,282.74646564013835,12.0,29.0
16,27.0,Man / Männlich,1.0,2.0,30.0,langsam_g_ch1_g16_compr.mp4,ch1g16,17.0,1.0,langsam,langsam_g_ch1,0.788845875511428,2.4049181147627072,751.6297108431811,-4.1026826,-0.2742538,287.9372761544916,0.038958999181069154,0.4225023216660553,195.7091957984369,17.0,40.0
46,26.0,Woman / Weiblich,1.0,3.0,75.0,leise_g_ch3_g6_compr.mp4,ch3g6,7.0,3.0,leise,leise_g_ch3,1.0655721883761704,1.8392183551739625,491.6666666666474,10.711828,3.2419639,2610.7445716660404,0.5729376443723899,1.0878200438549261,1914.959987355925,17.0,25.0
50,62.0,Man / Männlich,1.0,2.0,75.0,kalt_g_ch3_g10_compr.mp4,ch3g10,11.0,3.0,kalt,kalt_g_ch3,0.9799670971983874,1.8490801232812184,816.6666666666681,10.558463,3.1726744,1383.450074993268,0.20970859507248107,0.8600231522534508,816.6666666666681,12.0,5.0
9,58.0,Woman / Weiblich,1.0,1.0,50.0,leise_g_ch1_g9_compr.mp4,ch1g9,10.0,1.0,leise,leise_g_ch1,0.4706665665639193,1.1842749463334514,1941.6666666666615,10.397818,2.2661338,2551.825156936965,0.0898065913975033,0.3616161392545151,341.66666666666583,34.0,4.0
57,50.0,Woman / Weiblich,1.0,2.0,30.0,leise_g_ch3_g17_compr.mp4,ch3g17,18.0,3.0,leise,leise_g_ch3,0.5556199111090946,1.4034111310148396,0.0,7.601035,-0.31510028,4802.440406416345,0.2250992104743726,0.36796701847545177,3400.000000000021,29.0,50.0
27,13.0,Woman / Weiblich,2.0,5.0,73.0,langsam_g_ch2_g7_compr.mp4,ch2g7,8.0,2.0,langsam,langsam_g_ch2,1.2132170665845683,2.707587164794328,650.6907387538282,-2.5113313,0.1637573,719.3722197355646,0.7313642553404376,0.17432544132185823,239.47875788523368,,
54,26.0,Non-binary / Nicht-binär,1.0,2.0,70.0,kalt_g_ch3_g14_compr.mp4,ch3g14,15.0,3.0,kalt,kalt_g_ch3,0.9788278332395054,1.3420186393909863,1291.6666666666647,10.913955,2.8263671,201.6307876176267,0.110223297532548,0.42462035781789864,58.3333333333328,6.0,20.0
42,35.0,Man / Männlich,2.0,4.0,30.0,leise_g_ch3_g2_compr.mp4,ch3g2,3.0,3.0,leise,leise_g_ch3,0.5146494158049024,2.291994362639417,0.0,7.9496284,-0.48615998,1060.6610327503336,0.04647742887913392,0.21908972074674482,750.0000000000009,6.0,20.0
36,15.0,Man / Männlich,1.0,3.0,45.0,rennen_g_ch2_g16_compr.mp4,ch2g16,17.0,2.0,rennen,rennen_g_ch2,1.210446305391077,2.6701909675599635,388.90508550657967,-3.802856,0.8207181,439.26679513973056,0.12275677220398329,0.2371433230256419,226.97231482003306,0.0,2.0
12,25.0,Man / Männlich,1.0,4.0,55.0,langsam_g_ch1_g12_compr.mp4,ch1g12,13.0,1.0,langsam,langsam_g_ch1,0.5191652834674738,2.7811398432290315,514.6110778087835,-4.8530164,-0.46658945,751.0325894923959,0.2774398384663521,2.7811398432290315,514.6110778087835,0.0,21.0
5,59.0,Man / Männlich,1.0,2.0,66.0,langsam_g_ch1_g5_compr.mp4,ch1g5,6.0,1.0,langsam,langsam_g_ch1,0.99552422288224,2.781413581051936,341.9804340659588,-2.709856,-1.4949026,465.7795717557796,0.15461979798024716,0.03845919373619111,203.5595634492439,1.0,20.0
19,57.0,Woman / Weiblich,1.0,2.0,39.0,kalt_g_ch1_g19_compr.mp4,ch1g19,20.0,1.0,kalt,kalt_g_ch1,0.8467918770172608,1.8893167904916812,743.6351237528448,10.39829,3.1097429,1034.8225747686072,0.13901663801915487,0.4984912807732884,743.6351237528448,38.0,25.0
23,35.0,Woman / Weiblich,1.0,4.0,43.0,langsam_g_ch2_g3_compr.mp4,ch2g3,4.0,2.0,langsam,langsam_g_ch2,1.2573156304077888,2.8770768026781948,345.2723026293364,-3.8534696,-0.2825213,291.47346624165715,0.32304672906565,0.03923138369832602,16.190533557795277,24.0,26.0
53,32.0,Woman / Weiblich,1.0,3.0,50.0,leise_g_ch3_g13_compr.mp4,ch3g13,14.0,3.0,leise,leise_g_ch3,0.4321411715227743,1.9988610550204968,816.6666666666683,9.360655,-0.20812677,1154.9425571601732,0.02945801808963966,0.5562623352319742,816.6666666666683,11.0,3.0
20,,,,,,kalt_g_ch1_g20_compr.mp4,ch1g20,21.0,1.0,kalt,kalt_g_ch1,0.7348127922040295,1.2607697145562609,0.0,8.761273,2.204078,1074.928829427898,0.11197908481323127,0.6285470759354204,743.6351237528448,,
58,28.0,Man / Männlich,1.0,2.0,60.0,Donner_g_ch3_g18_compr.mp4,ch3g18,19.0,3.0,Donner,Donner_g_ch3,2.3184613619846632,2.308860132517771,1104.396377223632,10.225877,5.8181014,1609.772482447566,0.39073591918282324,0.21763157935898692,841.1075858664594,22.0,30.0
33,55.0,Man / Männlich,1.0,2.0,80.0,kalt_g_ch2_g13_compr.mp4,ch2g13,14.0,2.0,kalt,kalt_g_ch2,1.0193663124104912,1.3329906592434806,0.0,-2.0178895,-1.9100451,1200.0005431129468,0.27470995281054456,0.4942754984414841,0.0,31.0,39.0
3,32.0,Woman / Weiblich,1.0,3.0,60.0,rennen_g_ch1_g3_compr.mp4,ch1g3,4.0,1.0,rennen,rennen_g_ch1,0.6194316835858207,2.843087864681815,41.19524986101269,-3.022493,-3.732737,131.59071741599527,0.2614863840211888,0.0742917246086292,27.35454280150436,8.0,43.0
38,9.0,Woman / Weiblich,1.0,2.0,48.0,langsam_g_ch2_g18_compr.mp4,ch2g18,19.0,2.0,langsam,langsam_g_ch2,1.262456493495152,2.7742230652539175,594.8308424573704,-3.4444096,0.4414385,599.024540421377,0.26729209039889146,0.05641640724202146,554.8218828857628,43.0,26.0
3,32.0,Woman / Weiblich,1.0,3.0,60.0,kalt_g_ch1_g3_compr.mp4,ch1g3,4.0,1.0,kalt,kalt_g_ch1,0.5794584637872674,1.9463312767118068,1057.8279633286272,10.108588,2.4953291,1169.9432177542708,0.33407130885033265,0.31092132889327284,825.5053700046983,8.0,43.0
15,44.0,Woman / Weiblich,1.0,5.0,70.0,Donner_g_ch1_g15_compr.mp4,ch1g15,16.0,1.0,Donner,Donner_g_ch1,1.111557006800397,2.787028312751975,239.1829943810765,9.898158,4.9225106,369.20841580171896,0.027092503850544958,0.009604357571906252,232.41790405679396,33.0,30.0
51,21.0,Man / Männlich,1.0,2.0,60.0,rennen_g_ch3_g11_compr.mp4,ch3g11,12.0,3.0,rennen,rennen_g_ch3,0.3474555591428053,1.6496692370933053,0.0,-2.61287,-3.0577924,165.38443216588428,0.0965682890128059,1.120114059487105,69.92715611645096,41.0,15.0
25,33.0,Man / Männlich,1.0,2.0,80.0,rennen_g_ch2_g5_compr.mp4,ch2g5,6.0,2.0,rennen,rennen_g_ch2,0.488009004100625,2.8470393948766377,28.96757446474348,-4.044235,-3.2290912,1568.1603827212073,0.15949723805048627,0.482223935398046,968.3356468665473,33.0,20.0
49,50.0,Man / Männlich,1.0,3.0,80.0,Donner_g_ch3_g9_compr.mp4,ch3g9,10.0,3.0,Donner,Donner_g_ch3,1.325738274429613,1.8926524477839124,783.3333333333226,-1.340294,0.48534647,670.0934210532254,0.019377887707111796,0.49000212700380685,252.29661143925216,22.0,52.0
6,24.0,Woman / Weiblich,1.0,3.0,71.0,Donner_g_ch1_g6_compr.mp4,ch1g6,7.0,1.0,Donner,Donner_g_ch1,1.11255560740409,2.488923615689365,614.0004297863045,9.761945,4.7721605,847.5446024255474,0.7104255844224414,0.09935907673466993,522.5635929496805,35.0,5.0
25,33.0,Man / Männlich,1.0,2.0,80.0,kalt_g_ch2_g5_compr.mp4,ch2g5,6.0,2.0,kalt,kalt_g_ch2,0.686870239054695,1.325668963830427,0.0,8.621282,2.059413,2480.774067195205,0.17832968660675097,0.19455659175379258,1749.9999999999927,33.0,20.0
34,14.0,Man / Männlich,3.0,5.0,61.0,leise_g_ch2_g14_compr.mp4,ch2g14,15.0,2.0,leise,leise_g_ch2,0.4963846724711754,1.403014266330994,0.0,-1.5624886,-2.7852468,1300.7123055244665,0.060879011463971844,0.5360741646237064,918.6342519680442,41.0,19.0
55,20.0,Woman / Weiblich,2.0,4.0,30.0,rennen_g_ch3_g15_compr.mp4,ch3g15,16.0,3.0,rennen,rennen_g_ch3,0.4623941788587745,2.7938657549867565,201.5550199795869,-3.5639474,-3.5988002,447.5833941130357,0.030310778328328625,0.06518054919419658,48.158357382003885,6.0,40.0
24,66.0,Woman / Weiblich,1.0,5.0,60.0,Donner_g_ch2_g4_compr.mp4,ch2g4,5.0,2.0,Donner,Donner_g_ch2,1.230460346944986,1.706078160073314,2536.6513359151436,-1.375723,-0.15684035,2416.4934189174423,0.4187700162923802,0.5111053067673881,1466.7488366075254,31.0,17.0
11,25.0,Woman / Weiblich,1.0,4.0,76.0,Donner_g_ch1_g11_compr.mp4,ch1g11,12.0,1.0,Donner,Donner_g_ch1,1.5621432296398567,2.702805327213962,384.9803586460092,10.22713,5.5872993,455.13431410037555,0.012036699896986747,0.9182978662294448,82.35871184738585,0.0,6.0
7,50.0,Woman / Weiblich,1.0,2.0,40.0,kalt_g_ch1_g7_compr.mp4,ch1g7,8.0,1.0,kalt,kalt_g_ch1,0.5280319078185776,1.961261285095765,623.0769024678118,9.887108,2.5530217,840.8268061815356,0.35214687745096973,0.7007313548569314,250.14040297619215,26.0,31.0
48,28.0,Woman / Weiblich,1.0,1.0,28.0,rennen_g_ch3_g8_compr.mp4,ch3g8,9.0,3.0,rennen,rennen_g_ch3,0.5627431819213906,2.726276606500331,350.76645987751004,-4.12784,-2.6485574,334.40574183683395,0.2152491632147252,0.1657350668472044,237.78831882069846,5.0,34.0
18,19.0,Woman / Weiblich,1.0,2.0,64.0,rennen_g_ch1_g18_compr.mp4,ch1g18,19.0,1.0,rennen,rennen_g_ch1,0.5071295713940361,2.418995444838457,286.86524130097496,-2.9246786,-3.6706295,,,,,,
48,28.0,Woman / Weiblich,1.0,1.0,28.0,kalt_g_ch3_g8_compr.mp4,ch3g8,9.0,3.0,kalt,kalt_g_ch3,0.8852927679414146,2.0946498264530264,632.6019168364753,10.20937,3.12251,633.0959827867184,0.12266594090102267,0.3413078635130675,632.6019168364753,5.0,34.0
37,52.0,Woman / Weiblich,2.0,3.0,74.0,kalt_g_ch2_g17_compr.mp4,ch2g17,18.0,2.0,kalt,kalt_g_ch2,0.6797106111552581,1.5306234031867745,2063.4173044302624,-1.330939,-0.983879,2255.7268237642375,0.018067067799360848,0.2638524625388814,30.083971096933283,37.0,29.0
7,50.0,Woman / Weiblich,1.0,2.0,40.0,rennen_g_ch1_g7_compr.mp4,ch1g7,8.0,1.0,rennen,rennen_g_ch1,0.5447697360055443,2.702421871491682,222.60769037354217,-4.648332,-1.1241298,347.53883072384906,0.0004307062591017985,0.17045146932855815,255.33155882652184,26.0,31.0
30,45.0,Woman / Weiblich,1.0,2.0,51.0,leise_g_ch2_g10_compr.mp4,ch2g10,11.0,2.0,leise,leise_g_ch2,0.392494427874005,1.7898916564268463,0.0,8.136988,-0.1850534,1660.907630689228,0.04176089430941471,0.5432564469126351,1174.6748959227418,24.0,6.0
21,22.0,Non-binary / Nicht-binär,1.0,3.0,50.0,kalt_g_ch2_g1_compr.mp4,ch2g1,2.0,2.0,kalt,kalt_g_ch2,0.5853403323719918,1.6329455128308967,1784.4768529989046,-1.3320721,-0.99745595,2922.041410265261,0.13237605237694516,0.3445921360590236,1742.902882034748,,
2,24.0,Prefer not to say / Keine Angabe,1.0,7.0,17.0,Donner_g_ch1_g2_compr.mp4,ch1g2,3.0,1.0,Donner,Donner_g_ch1,1.1564552228304228,2.7352962652775688,483.1097822735504,10.152144,4.745824,315.9317370039627,0.1233871791867891,0.14519161357128008,33.10978227354963,2.0,23.0
21,22.0,Non-binary / Nicht-binär,1.0,3.0,50.0,rennen_g_ch2_g1_compr.mp4,ch2g1,2.0,2.0,rennen,rennen_g_ch2,0.2310090011396667,2.8854028035729775,157.64858456932797,-3.4611716,-4.129098,82.40545574781015,0.2429321903112636,0.11456485661656535,0.0996286052308335,,
56,21.0,Man / Männlich,2.0,2.0,80.0,Donner_g_ch3_g16_compr.mp4,ch3g16,17.0,3.0,Donner,Donner_g_ch3,1.932658949123331,2.431976572057573,139.66450099973804,-1.1694442,1.3568312,538.4466931936347,0.08861837945927897,0.17674585923001018,432.52427903706223,1.0,50.0
42,35.0,Man / Männlich,2.0,4.0,30.0,kalt_g_ch3_g2_compr.mp4,ch3g2,3.0,3.0,kalt,kalt_g_ch3,0.9925058249985694,2.300380020435732,0.0,10.006105,4.181961,1128.8850753150743,0.13321910285240868,0.22401540426037547,783.3333333333352,6.0,20.0
12,25.0,Man / Männlich,1.0,4.0,55.0,rennen_g_ch1_g12_compr.mp4,ch1g12,13.0,1.0,rennen,rennen_g_ch1,0.586933020623945,2.771342098350931,99.20317455237792,-4.460523,-1.9811255,370.1060785699228,0.004760706855558294,0.06960901593495761,340.7042231104925,0.0,21.0
36,15.0,Man / Männlich,1.0,3.0,45.0,langsam_g_ch2_g16_compr.mp4,ch2g16,17.0,2.0,langsam,langsam_g_ch2,0.7816460138985063,2.847673702008603,473.06708843050063,-4.502375,0.3410147,1506.8924353168763,0.03243180043412586,0.4920434487679155,1055.002170380182,0.0,2.0
42,35.0,Man / Männlich,2.0,4.0,30.0,rennen_g_ch3_g2_compr.mp4,ch3g2,3.0,3.0,rennen,rennen_g_ch3,0.5303442338249903,2.87373582848716,145.1859894532412,-3.8686025,-3.3801665,90.54957130161024,0.1363534722654972,0.01902957650988224,70.44685980885862,6.0,20.0
47,23.0,Woman / Weiblich,1.0,3.0,62.0,Donner_g_ch3_g7_compr.mp4,ch3g7,8.0,3.0,Donner,Donner_g_ch3,1.4130788694066534,2.4606923916674055,543.5071296680447,-1.9545839,0.6130089,250.9407739816632,0.48982064788770496,0.0021155837509190256,129.90506648814795,3.0,13.0
8,24.0,Woman / Weiblich,4.0,5.0,54.0,Donner_g_ch1_g8_compr.mp4,ch1g8,9.0,1.0,Donner,Donner_g_ch1,1.2443782672688108,2.712562971417667,366.6666666666731,10.056534,4.911036,420.97527972831494,0.04358842610172564,0.09515471485782356,300.0000000000141,26.0,14.0
9,58.0,Woman / Weiblich,1.0,1.0,50.0,kalt_g_ch1_g9_compr.mp4,ch1g9,10.0,1.0,kalt,kalt_g_ch1,0.7304108469478711,1.9294964015314209,1791.634883439021,10.88143,2.3557198,1440.9937165048952,0.1731382597386243,0.015673280996168826,349.9682167723529,34.0,4.0
46,26.0,Woman / Weiblich,1.0,3.0,75.0,rennen_g_ch3_g6_compr.mp4,ch3g6,7.0,3.0,rennen,rennen_g_ch3,0.5306425051647295,2.7181736211293663,180.9068067466572,-3.251279,-3.9264777,197.78814441015444,0.09386276875701316,0.19475216767713777,148.09190832690268,17.0,25.0
