participantID,Age,BirthPlace,Gender,NativeLanguages,NumOfNativeLanguages,Other Languages,TotalLanguages,Extroversion,Hand,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,event,left_wrist_space2D,right_wrist_space2D,left_knee_space2D,right_knee_space2D,nose_space2D,total_arm_boundingbox2D,left_arm_entropy,right_arm_entropy,total_arm_entropy2Daggregated,left_wrist_variability2D,right_wrist_variability2D,left_knee_variability2D,right_knee_variability2D,left_wrist_submovements,right_wrist_submovements,left_knee_submovements,right_knee_submovements,right_wrist_SpeedAVG,left_wrist_SpeedAVG,left_knee_SpeedAVG,right_knee_SpeedAVG,right_wrist_AccelAVG,left_wrist_AccelAVG,right_knee_AccelAVG,left_knee_AccelAVG,right_wrist_SpeedSD,left_wrist_SpeedSD,right_knee_SpeedSD,left_knee_SpeedSD,right_wrist_AccelSD,left_wrist_AccelSD
23,35.0,Deutschland ,Woman / Weiblich,Deutsch ,1.0,"English (fluent), French (advanced), Italian (beginner)",4.0,43.0,Right-handed / Rechtshänder*in,Donner_g_ch2_g3_compr.mp4,ch2g3,3.0,2.0,Donner,Donner_g_ch2,lndw,0.28480587476797886,0.2653868759851794,0.006679441331341967,0.005854316160763408,0.040233822108578315,0.3200509942243415,4.311680062638569,4.404355888704822,2.2460055503714194,1080.5805481257064,1265.0086614645138,303.05848353815134,372.9263654853006,4.0,4.0,6.0,4.0,0.0002861814007693096,0.0003109093786621514,1.6036503581593008e-05,2.0137139615381024e-05,-1.0871721664935453e-06,-7.15959390388414e-07,-1.8352143318472254e-07,-4.268480899287862e-08,0.00027508731922332863,0.00028325366998288955,9.978457984828923e-06,1.3939687927015422e-05,1.2658148322988699e-05,1.3371223947065144e-05
0,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,0.0,1.0,kalt,kalt_g_ch1,lndw,0.13869078172197366,0.14654838881796006,0.0,0.0,0.0,0.11343200435112852,4.27828980822893,4.679168548513713,2.2423981010354628,24.99999999999909,58.3333333333328,0.0,0.0,3.0,3.0,0.0,0.0,0.0002024307630668455,0.00018368976736424833,0.0,0.0,-3.6340870629870085e-06,-2.5154633667546434e-06,0.0,0.0,0.00017610611282677503,0.0001625415659481609,0.0,0.0,0.0,0.0
16,27.0,Deutschland,Man / Männlich,Deutsch ,1.0,English,2.0,30.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g16_compr.mp4,ch1g16,16.0,1.0,Donner,Donner_g_ch1,lndw,0.18248526793485056,0.18063076995828037,0.008653928125208439,0.011380551798923331,0.0,0.2945775169875498,5.366334705242454,5.118301190851131,2.775162523945503,308.7114798282995,559.60188524741,238.18938284223785,167.20653304030245,11.0,12.0,13.0,16.0,0.00035664651822952365,0.00037558189753867294,2.1243459616025567e-05,2.2319298904541473e-05,2.469870382785295e-08,-5.828587100986016e-08,5.771131628433729e-09,3.0800991555239037e-08,0.0002669033619233309,0.00027709962123661185,1.0614934229348343e-05,1.2446717647427328e-05,2.686457320247959e-05,3.756313445815159e-05
22,32,"Delft, Netherlands",Man / Man,Dutch and Polish,,"English (fluent), French (good knowledge), German (basic knowledge)",5.0,91.0,Right-handed / Rechtshandig,onweer_g_ch2_g2_compr.mp4,ch2g2,2.0,2.0,onweer,onweer_g_ch2,nijmegen,0.33399673868228813,0.0,0.0,0.0,0.1181828819092439,0.2398325545782823,5.3627945882454515,0.0,2.65891842261202,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.838358744439848e-05,0.0004568880756462734,0.0,0.0,-1.9726705179332313e-07,-1.7043886115788983e-06,0.0,0.0,2.6162399574901905e-05,0.0003354550118283674,0.0,0.0,0.0,0.0
30,45.0,Dresden,Woman / Weiblich,Deutsch,1.0,Englisch,2.0,51.0,Right-handed / Rechtshänder*in,kalt_g_ch2_g10_compr.mp4,ch2g10,10.0,2.0,kalt,kalt_g_ch2,lndw,0.13698162319356275,0.1349181631698083,0.020969866346290545,0.024340721108662353,0.02731894398596807,0.1612017956334796,4.007069297918374,4.248511397675179,1.7912992759387554,1787.7816405938488,1329.8797866399825,730.715798536811,894.7668069887851,5.0,4.0,8.0,5.0,0.00013147638985884806,0.00015268686604140116,2.614552025671431e-05,2.2213872973202914e-05,-9.870093327028849e-08,-5.883288490664804e-07,-4.262190556755228e-09,2.1670384447574115e-09,0.00014441489691690516,0.0001685669890390094,1.92178033847196e-05,2.0244681652098083e-05,1.1679272256920487e-05,1.2453149739884254e-05
12,25.0,"Hamburg, Germany",Man / Männlich,German,1.0,"English (fluent), Spanish (fluent), French (basic)",4.0,55.0,Right-handed / Rechtshänder*in,lndw_lndw_rennen_g_ch1_g12_compr.mp4,ch1g12,12.0,1.0,lndw_lndw_rennen,lndw_lndw_rennen_g_ch1,lndw,0.0951867133549733,0.059908629626889656,0.016655363052575783,0.014982647114613553,0.0,0.0471142083437966,5.63031006882906,5.398519027744488,2.785682688279008,226.07766610417252,264.0706976045074,275.74866525314087,221.96095752781977,8.0,6.0,9.0,6.0,0.00013965688794556567,0.00023376335322534248,4.381202558895247e-05,3.959161962741011e-05,-2.1821639949564945e-07,-1.601312912619449e-07,5.526147725038183e-08,6.693919103992938e-08,9.90183203880995e-05,0.00013598316516263834,2.2138525191972648e-05,2.1329751571361083e-05,1.8707601548621244e-05,2.4806110353403203e-05
37,52.0,Österreich,Woman / Weiblich,"Österreichisch, deutsch",2.0,Englisch (fließend),3.0,74.0,Right-handed / Rechtshänder*in,leise_g_ch2_g17_compr.mp4,ch2g17,17.0,2.0,leise,leise_g_ch2,lndw,0.0,0.10055082744948868,0.0,0.0,0.0,0.08019263335754605,0.0,1.645296731085951,0.6582918100668019,0.0,2433.3333333333358,0.0,0.0,0.0,3.0,0.0,0.0,0.00012090185518253695,8.843886115439015e-06,0.0,0.0,7.558264024079667e-07,4.23603811474019e-08,0.0,0.0,0.00021701445751257372,8.083220734528973e-06,0.0,0.0,0.0,0.0
26,,,Woman / Weiblich,,,,,,,kalt_g_ch2_g6_compr.mp4,ch2g6,6.0,2.0,kalt,kalt_g_ch2,lndw,0.04255316008279289,0.06666793212059444,0.0,0.0,0.0,0.14450212967064602,4.452912091519512,4.52893547641639,2.2082270969631828,329.33819826133214,294.03797940629147,0.0,0.0,10.0,11.0,0.0,0.0,0.0001300519890192067,0.00010877361706580081,0.0,0.0,4.101051308196056e-07,1.737976584302949e-07,0.0,0.0,0.00013175738325534346,8.402700478373428e-05,0.0,0.0,0.0,0.0
5,59.0,Berlin ,Man / Männlich,Deutsch,1.0,Englisch,2.0,66.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g5_compr.mp4,ch1g5,5.0,1.0,Donner,Donner_g_ch1,lndw,0.3391152331319205,0.311341480565766,0.010318773900478934,0.011698914106871901,0.0,0.7137744275752944,4.451780563387834,4.634547521428063,2.1912362209421596,856.064963786183,989.5004351242676,553.6076963712445,515.2492317639425,5.0,6.0,10.0,9.0,0.0004244203703432163,0.00046996982390204174,1.9068599535624475e-05,1.9820987090190523e-05,2.146315022352809e-07,4.103858162020086e-07,-4.135513536966821e-08,2.8822487203126145e-08,0.0003432247056526542,0.0003554239056070331,1.3346454498415283e-05,1.1503781357666243e-05,3.276484998150096e-05,3.2740511719744156e-05
4,28,"Nederland, Heeze",Woman / Vrouw,Nederlands,,"Engels (vloeiend), Duits (beginnend basis), Frans (beginnend basis)",4.0,28.0,Right-handed / Rechtshandig,onweer_g_ch1_g4_compr.mp4,ch1g4,4.0,1.0,onweer,onweer_g_ch1,nijmegen,0.0,0.338968032285215,0.0,0.0,0.0,0.26730011523237157,0.0,4.96109406085381,2.4807305257058174,0.0,674.9999999999925,0.0,0.0,0.0,3.0,0.0,0.0,0.00030278181431167165,3.101168044001038e-05,0.0,0.0,-1.0031727378778525e-07,-2.7790775231364232e-09,0.0,0.0,0.0002239492986385062,1.9178229126976956e-05,0.0,0.0,0.0,0.0
