participantID,Age,BirthPlace,Gender,NativeLanguages,NumOfNativeLanguages,Other Languages,TotalLanguages,Extroversion,Hand,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,event,left_wrist_space2D,right_wrist_space2D,left_knee_space2D,right_knee_space2D,nose_space2D,total_arm_boundingbox2D,left_arm_entropy,right_arm_entropy,total_arm_entropy2Daggregated,left_wrist_variability2D,right_wrist_variability2D,left_knee_variability2D,right_knee_variability2D,left_wrist_submovements,right_wrist_submovements,left_knee_submovements,right_knee_submovements,right_wrist_SpeedAVG,left_wrist_SpeedAVG,left_knee_SpeedAVG,right_knee_SpeedAVG,right_wrist_AccelAVG,left_wrist_AccelAVG,right_knee_AccelAVG,left_knee_AccelAVG,right_wrist_SpeedSD,left_wrist_SpeedSD,right_knee_SpeedSD,left_knee_SpeedSD,right_wrist_AccelSD,left_wrist_AccelSD
16,27.0,Deutschland,Man / Männlich,Deutsch ,1.0,English,2.0,30.0,Right-handed / Rechtshänder*in,lndw_lndw_rennen_g_ch1_g16_compr.mp4,ch1g16,16.0,1.0,lndw_lndw_rennen,lndw_lndw_rennen_g_ch1,lndw,0.04633592353338356,0.0474873139944116,0.014094116161541279,0.016994470321603693,0.0,0.020782988349805975,4.56389082176385,4.0249720410292635,2.075745263757677,858.8969630028727,945.4569735788546,221.35175318812313,438.99668562623134,9.0,6.0,15.0,12.0,8.61614190565137e-05,8.476844023228212e-05,4.695397304661934e-05,4.806482342340153e-05,6.22636550448648e-08,8.715757353245756e-07,-1.5909416440551172e-07,1.0016609032021427e-07,0.00011180933730276927,8.773915565358389e-05,4.271873236878036e-05,3.935067769244978e-05,1.4809943885304542e-05,1.247969185650305e-05
34,14.0,Berlin,Man / Männlich,"Schweizerdeutsch, deutsch, österreichisch",3.0,"Englisch (Grundkenntnisse), Deutsch (fließend)",5.0,61.0,Right-handed / Rechtshänder*in,kalt_g_ch2_g14_compr.mp4,ch2g14,14.0,2.0,kalt,kalt_g_ch2,lndw,0.13016139481698052,0.11618425936131024,0.01073734617197912,0.016695300817922414,0.0,0.15686119032705323,3.797410639133256,3.931540830506836,1.7280339798725444,0.0,0.0,328.7094258175642,149.59203781544664,2.0,1.0,8.0,6.0,0.00012378581471948012,0.0001366152112175908,2.8609707620950022e-05,1.720325206079848e-05,-1.7588935850715764e-07,-4.46034443720082e-07,-3.421497431584945e-08,-5.031212277674013e-08,0.00016072894644427976,0.0001890559590230419,2.3014499896213007e-05,9.135426634313143e-06,1.1597140568220744e-05,1.3753056742229319e-05
8,33,Nijmegen,Man / Man,Nederlands,,"English fluent, german basic, spanish basic, french basic",5.0,39.0,Right-handed / Rechtshandig,stil_g_ch1_g8_compr.mp4,ch1g8,8.0,1.0,stil,stil_g_ch1,nijmegen,0.0,0.21098297294713758,0.0,0.0,0.0,0.08164607752145228,0.0,3.4323823119527956,1.6165312841077353,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00020531246448271493,1.895044668951578e-05,0.0,0.0,-9.429397013056945e-07,4.5377681544844036e-08,0.0,0.0,0.0002622220533988421,1.604075566840573e-05,0.0,0.0,0.0,0.0
8,33,Nijmegen,Man / Man,Nederlands,,"English fluent, german basic, spanish basic, french basic",5.0,39.0,Right-handed / Rechtshandig,nijmegen_nijmegen_rennen_g_ch1_g8_compr.mp4,ch1g8,8.0,1.0,nijmegen_nijmegen_rennen,nijmegen_nijmegen_rennen_g_ch1,nijmegen,0.04370321775533568,0.04277932329342093,0.007834041276591265,0.006048142422024755,0.0,0.09320859360540894,5.439840228893076,5.666884591647589,2.734913033408891,142.0485050177511,139.66450099973957,124.25705136858332,153.55861067872434,6.0,7.0,7.0,7.0,0.00012187776130024063,0.00011145362862219765,2.4801637494103884e-05,3.118274416360249e-05,1.11154777308881e-07,3.8540682893754857e-07,-3.3894935732630384e-08,1.1751026472867264e-07,7.37097824928299e-05,7.902505272588714e-05,1.4579551602471086e-05,1.4664606500801745e-05,1.5899924860515447e-05,1.4501031603991814e-05
26,52,Wouw,Woman / Vrouw,Nederlands,,,1.0,83.0,Right-handed / Rechtshandig,onweer_g_ch2_g6_compr.mp4,ch2g6,6.0,2.0,onweer,onweer_g_ch2,nijmegen,0.11321982331267783,0.17521697314245965,0.06805823448339857,0.05162425174887699,0.11980584554427068,0.20506926426525257,4.872177223921803,4.230391165092738,2.315043270608182,795.8887703709415,682.4403463958402,1012.6247827390343,745.9073520067807,12.0,9.0,13.0,16.0,0.00013194867762485822,0.0001054996921790776,7.642754363813041e-05,7.578025112350813e-05,-2.9450571589958404e-08,3.968353842422262e-08,8.309570651207398e-08,9.534471119997946e-08,0.00012166185450807034,9.213787280821949e-05,6.6526741917354e-05,8.214278632793522e-05,9.924408332282776e-06,8.640187244224956e-06
12,25.0,"Hamburg, Germany",Man / Männlich,German,1.0,"English (fluent), Spanish (fluent), French (basic)",4.0,55.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g12_compr.mp4,ch1g12,12.0,1.0,Donner,Donner_g_ch1,lndw,0.25695124788221374,0.23711555362329026,0.010320614482700583,0.0027604365311910944,0.0,0.4963511417467761,5.1115828137384005,5.194285429629813,2.596368657959399,674.9999999999973,183.7537267615687,0.0,43.74448818895472,3.0,4.0,2.0,4.0,0.0003768276500443452,0.00040796170517130463,1.0266322036351497e-05,2.4214328030580264e-05,-6.546508006097048e-07,-7.90664226309704e-07,-2.2654224958477733e-07,-1.008484738085496e-07,0.00025695108254095736,0.0002972234410818795,6.659164280225166e-06,1.1036628439441439e-05,3.638897646013023e-05,4.906939276649485e-05
4,60.0,Berlin,Woman / Weiblich,Deutsch ,1.0,Englisch fließend und französisch Grundkenntnisse ,3.0,86.0,Right-handed / Rechtshänder*in,kalt_g_ch1_g4_compr.mp4,ch1g4,4.0,1.0,kalt,kalt_g_ch1,lndw,0.1541201922323997,0.1686357296221286,0.006395315526684337,0.0049740692792528025,0.0,0.18176756730739668,3.6272660896600897,3.7240679729870663,1.608788824115433,1266.0908779037552,1251.970668807998,291.0736433923752,213.13069079328892,5.0,5.0,14.0,16.0,0.00018414638887969333,0.0001745186377815656,1.0179921888124035e-05,1.0230699685990052e-05,-3.9077623216552014e-07,-4.918211154077145e-07,-2.3933122669657593e-08,-4.3794184976468805e-09,0.00019484108774365432,0.00018883180362688241,5.482772407934078e-06,4.524124014348621e-06,1.592044346969825e-05,1.3005659007830553e-05
27,13.0,Berlin ,Woman / Weiblich,"German, French",2.0,English Estonian. Esperanto,5.0,73.0,Right-handed / Rechtshänder*in,Donner_g_ch2_g7_compr.mp4,ch2g7,7.0,2.0,Donner,Donner_g_ch2,lndw,0.18398215957979785,0.24571597297078607,0.025890587041382605,0.02549483369042358,0.044802320019601743,0.3454547357756224,4.629558951002274,4.896998269925515,2.472790771819557,865.537726246266,547.7067088222396,500.2537079230987,334.8879563535535,6.0,9.0,10.0,15.0,0.00028821895669462274,0.0002205674467857843,3.609734293999816e-05,3.9137252069488554e-05,-7.461067936003912e-08,4.887297774690948e-08,-2.27244952205699e-08,1.3132925638062807e-07,0.00024241087206567562,0.00019738127412924721,1.7825877267212537e-05,2.6120338274763724e-05,1.8552050999086452e-05,1.6966174476169565e-05
1,26.0,Osnabrück ,Woman / Weiblich,German,1.0,"Englisch (fluent), Spanish (basic)",3.0,40.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g1_compr.mp4,ch1g1,1.0,1.0,Donner,Donner_g_ch1,lndw,0.13195732692899093,0.2386061615253588,0.0,0.0,0.02853673340160023,0.21503969053671726,4.607915970835229,5.594830380321069,2.916205961450928,0.0,433.33333333333405,0.0,0.0,2.0,3.0,0.0,0.0,0.0005399376661554018,0.00028041465366485964,0.0,0.0,5.935304123419396e-07,1.6286849504973337e-06,0.0,0.0,0.0002582832305252113,0.0002443908739649121,0.0,0.0,0.0,0.0
22,59.0,Lüdenscheid ,Woman / Weiblich,Deutsch ,1.0,"Englisch fließend, französisch Grundkenntnisse",3.0,69.0,Right-handed / Rechtshänder*in,kalt_g_ch2_g2_compr.mp4,ch2g2,2.0,2.0,kalt,kalt_g_ch2,lndw,0.1205802175933996,0.1510031153564485,0.005052262321147803,0.006103153885631465,0.0,0.14417090463523588,2.9725978890382385,3.183783473461972,1.3715721715070635,1887.4586088176925,1948.8996578949957,554.4808198592958,364.85704011601933,5.0,4.0,8.0,9.0,0.00012609934781858918,0.0001234418955270193,1.1110950816819403e-05,1.1011520559263647e-05,-8.788430981838083e-08,-2.31641653397792e-07,2.589314843855285e-08,3.793596538025072e-08,0.00018154208453247383,0.0001671173353797777,5.224635104736616e-06,5.956981103441287e-06,1.118787610004022e-05,9.87843412322634e-06
33,55.0,Westfalen ,Man / Männlich,Deutsch,1.0,Englisch schlecht,2.0,80.0,Right-handed / Rechtshänder*in,leise_g_ch2_g13_compr.mp4,ch2g13,13.0,2.0,leise,leise_g_ch2,lndw,0.0,0.1621698559918781,0.017681592604101137,0.025050013494288967,0.0,0.06229275892181456,0.0,4.695402558620957,2.113781431829043,0.0,905.3680787528854,694.7101713824426,253.79830623334243,0.0,4.0,6.0,7.0,0.00022105220064759835,4.5406784688168005e-05,6.595423015141053e-05,4.123923630428987e-05,-5.350997625572767e-07,-5.196514765708819e-08,-6.095381128666131e-08,-5.511476213998723e-08,0.00023462127749972398,1.8221947740597085e-05,3.7428657196999344e-05,2.5947285345915364e-05,1.9606481807960507e-05,3.0855091927474276e-06
38,9.0,Berlin,Woman / Weiblich,Deutsch,1.0,English basic,2.0,48.0,Left-handed / Linkshänder*in,Donner_g_ch2_g18_compr.mp4,ch2g18,18.0,2.0,Donner,Donner_g_ch2,lndw,0.2868206486104654,0.27726696719553623,0.04617985592979198,0.10345247439150901,0.05094429359725406,0.8126549272119507,5.078087081532999,5.205953068362706,2.750906313579608,798.9292721257729,546.4859683287892,542.0171389127623,645.6041342934051,8.0,16.0,19.0,19.0,0.00047731958674372124,0.00035918501876909526,0.00012990036029832087,0.00010113430057639473,5.023509530110655e-07,1.6674838764322928e-07,5.0768696990729485e-08,-1.6889685245659827e-08,0.0003005770008229539,0.0002763839419325096,0.00013032179252769403,7.593122185094937e-05,3.6223633104767113e-05,2.103722474660739e-05
4,28,"Nederland, Heeze",Woman / Vrouw,Nederlands,,"Engels (vloeiend), Duits (beginnend basis), Frans (beginnend basis)",4.0,28.0,Right-handed / Rechtshandig,koud_g_ch1_g4_compr.mp4,ch1g4,4.0,1.0,koud,koud_g_ch1,nijmegen,0.17354082102101165,0.17401419265502754,0.0,0.0,0.0,0.17370386125249082,5.347136503675081,4.851065982803647,2.5444660515183206,372.89274183547866,927.7860944404395,0.0,0.0,13.0,13.0,0.0,0.0,0.00017635154264985942,0.00018368555510316905,0.0,0.0,-3.0828028220955306e-08,-5.444212022513163e-09,0.0,0.0,0.00013254586971908933,0.00011772637929540115,0.0,0.0,0.0,0.0
58,28.0,Deutschland ,Man / Männlich,Deutsch ,1.0,Englisch (fließend),2.0,60.0,Right-handed / Rechtshänder*in,langsam_g_ch3_g18_compr.mp4,ch3g18,18.0,3.0,langsam,langsam_g_ch3,lndw,0.10283367590871217,0.10281518889395266,0.025272042970038704,0.02519481808598777,0.06735807288632757,0.08948433990956757,5.425069812048287,5.64761202731772,2.827067973807559,387.49910394161424,673.0561158977673,380.5092986891273,445.80485092201513,6.0,8.0,9.0,12.0,0.0001540839710040621,0.00016755212877825765,3.98545565161034e-05,3.65032598926892e-05,-4.1423294796565044e-08,-3.7568323713357665e-07,-4.764492445506717e-08,-7.979700546635376e-08,8.142549597813668e-05,9.414249492870767e-05,2.39644431819615e-05,1.733818188267627e-05,6.7035125237834784e-06,8.405423758889662e-06
20,,,,,,,,,,leise_g_ch1_g20_compr.mp4,ch1g20,20.0,1.0,leise,leise_g_ch1,lndw,0.0,0.05885407213059014,0.0,0.0,0.0,0.022498438219092528,0.0,2.0805404567358354,1.0338856172355284,0.0,2094.9840890406194,0.0,0.0,0.0,5.0,0.0,0.0,6.94377227863658e-05,0.0001040839432127173,0.0,0.0,1.0071315015610351e-06,-1.6628503963707062e-07,0.0,0.0,0.0001205986600656319,0.00018329518303497654,0.0,0.0,0.0,0.0
53,32.0,Germany,Woman / Weiblich,German,1.0,"English (fließend), Deutsch (fließend)",3.0,50.0,Right-handed / Rechtshänder*in,kalt_g_ch3_g13_compr.mp4,ch3g13,13.0,3.0,kalt,kalt_g_ch3,lndw,0.15236239739269325,0.16778768059533855,0.0,0.0,0.0,0.22378519307598868,3.407178549596779,3.2838502820896722,1.631288655967238,958.6835109013168,1208.3333333333321,0.0,0.0,4.0,3.0,0.0,0.0,0.0002814578181700024,0.0002529024132555671,0.0,0.0,2.8245728915423208e-08,-9.285241894070993e-08,0.0,0.0,0.00031983767952110893,0.00030555503354633433,0.0,0.0,0.0,0.0
44,28.0,Italy,Woman / Weiblich,Italienisch,1.0,"Deutsch (fließend), Englisch (fließend), Spanisch (gut), Portugiesisch (Grundkenntnisse)",5.0,46.0,Right-handed / Rechtshänder*in,lndw_lndw_rennen_g_ch3_g4_compr.mp4,ch3g4,4.0,3.0,lndw_lndw_rennen,lndw_lndw_rennen_g_ch3,lndw,0.09736238711592728,0.09227018483360377,0.054997400575401284,0.05198676788128853,0.0,0.0899332302956344,5.20082080998036,5.72189782724247,2.7548742143074634,251.4583315720644,257.25306280391686,224.22706745123048,194.51084062380863,8.0,8.0,9.0,8.0,0.0003272479284894652,0.00031474213223684714,0.00015351730442439293,0.00013857160351412646,-9.398060284440166e-08,1.7778958799636723e-07,6.317158190058263e-08,6.341839862568824e-08,0.0001854471798386794,0.00022010181762549316,0.00014141047710307926,0.00010717396506350265,2.9626334680710846e-05,3.40419280448959e-05
45,43.0,Brazil,Woman / Weiblich,Portuguese,1.0,"English (fluent), German (fluent), Italian (basic)",4.0,50.0,Right-handed / Rechtshänder*in,leise_g_ch3_g5_compr.mp4,ch3g5,5.0,3.0,leise,leise_g_ch3,lndw,0.0,0.18052280816697147,0.0,0.0,0.0,0.12074064783133073,0.0,1.9614817544955412,0.7515198918662986,0.0,2230.7937986784546,0.0,0.0,0.0,5.0,0.0,0.0,0.0001551908321796064,9.917531081992158e-06,0.0,0.0,-6.192425975601348e-07,2.101578124873808e-08,0.0,0.0,0.0002727207452840317,6.583542580846472e-06,0.0,0.0,0.0,0.0
19,54,Nederland,Man / Man,Nederlands,,"Engels, Duits",3.0,41.0,Right-handed / Rechtshandig,koud_g_ch1_g19_compr.mp4,ch1g19,19.0,1.0,koud,koud_g_ch1,nijmegen,0.032292683860705974,0.022524093525935894,0.00696784128055137,0.0029709616380352247,0.0,0.20385043879476275,3.555877220259961,3.534277439125363,1.6026516527497414,0.0,1499.999999999994,0.0,122.47448713915782,2.0,3.0,2.0,6.0,5.496621238446591e-05,5.5223913712537695e-05,6.7369566050291685e-06,1.4767395854422634e-05,1.0912280209435028e-06,1.3537984549554737e-06,3.824930249941819e-08,8.078584299845923e-08,6.705315158465625e-05,8.049437025524598e-05,3.4930217533724144e-06,1.385390312805615e-05,4.147320888854817e-06,4.81051315877228e-06
15,44.0,Bünde,Woman / Weiblich,Deutsch,1.0,"English (fluent), French (Fluent), Spanish (basic), Polish (basic)",5.0,70.0,Right-handed / Rechtshänder*in,langsam_g_ch1_g15_compr.mp4,ch1g15,15.0,1.0,langsam,langsam_g_ch1,lndw,0.13677325028299525,0.08396132675954557,0.038551967051875115,0.02813117292199372,0.0,0.14766043960236147,5.435126538265115,5.631493525288561,2.8796529757287277,1030.92311504583,560.436269343237,647.4390895316446,412.1441808260166,16.0,18.0,22.0,28.0,9.551537202054493e-05,0.00014207246956634463,3.655860627407859e-05,3.9070196398976885e-05,4.7317382104016786e-08,-1.1525490852204551e-07,-6.292124933135028e-09,1.4146705879289583e-08,5.3354845384865096e-05,7.442817540120138e-05,2.2764989921903348e-05,2.9761043251383637e-05,4.615438602070627e-06,5.812655959208862e-06
20,36,OSS nederland,Woman / Vrouw,Nederlands,,Engels (basiskennis),2.0,82.0,Right-handed / Rechtshandig,nijmegen_nijmegen_rennen_g_ch1_g20_compr.mp4,ch1g20,20.0,1.0,nijmegen_nijmegen_rennen,nijmegen_nijmegen_rennen_g_ch1,nijmegen,0.06893417885172118,0.055356459393937206,0.026947457031086877,0.008932517223508137,0.0,0.04230887860997147,5.701540061048036,5.742550306109555,2.8912092941321488,161.1309471114362,184.0264675005772,181.93914326458594,120.25340327551058,14.0,13.0,13.0,14.0,0.0002492135867773624,0.00027105605461720934,2.5604076665411565e-05,6.047153707199429e-05,9.872283550008732e-07,3.076822098594128e-07,1.574847469415835e-08,1.3404921004941623e-07,0.0001402315727873482,0.00016974575175782473,1.3993445245143609e-05,4.192941627273114e-05,3.2481520711636864e-05,3.6136381677002016e-05
2,24.0,Regensburg,Prefer not to say / Keine Angabe,Deutsch,1.0,"English (fluent), French (fluent), Spanish (good knowledge), Italian (basic), Russian (basic), Vietnamese (basic)",7.0,17.0,Right-handed / Rechtshänder*in,langsam_g_ch1_g2_compr.mp4,ch1g2,2.0,1.0,langsam,langsam_g_ch1,lndw,0.0956543112775376,0.08480100950793505,0.010981783895586005,0.015493136388044046,0.0,0.05788347896349403,5.354278540657138,5.5907418081109626,2.816869546867915,302.56108453755564,192.6103980373331,507.90054436175296,256.8355625158617,4.0,4.0,4.0,7.0,0.00019567561173471198,0.00018449761193273167,3.383814553316256e-05,2.3183922753432693e-05,-4.2025273174415415e-07,-2.818893799105654e-08,4.262674243049226e-08,-6.407634783440092e-08,0.00012410068091288834,0.00012625644492359394,1.6235061732706684e-05,1.1160260427142353e-05,1.5064554590684788e-05,1.534207766200391e-05
19,57.0,Leipzig ,Woman / Weiblich,Deutsch ,1.0,Englisch ,2.0,39.0,Right-handed / Rechtshänder*in,leise_g_ch1_g19_compr.mp4,ch1g19,19.0,1.0,leise,leise_g_ch1,lndw,0.0,0.09990313550259891,0.0,0.0,0.0,0.03526196765105426,0.0,2.361650239115913,1.0251859023637893,0.0,1418.2888316124229,0.0,0.0,0.0,4.0,0.0,0.0,0.00018489340093673343,1.1285296305641964e-05,0.0,0.0,1.889813775021182e-06,1.9623341850320142e-08,0.0,0.0,0.0002504573774704052,9.644740823018652e-06,0.0,0.0,0.0,0.0
22,32,"Delft, Netherlands",Man / Man,Dutch and Polish,,"English (fluent), French (good knowledge), German (basic knowledge)",5.0,91.0,Right-handed / Rechtshandig,koud_g_ch2_g2_compr.mp4,ch2g2,2.0,2.0,koud,koud_g_ch2,nijmegen,0.09707229153781494,0.10746681889946376,0.006708930756221096,0.005900698245088813,0.0,0.0960969034041273,3.6816850984024416,3.485886930378342,1.332053507620135,1581.577974330978,1210.628854035046,334.0900501603766,547.3572873361574,5.0,6.0,12.0,6.0,7.922667193662237e-05,6.888462669461448e-05,8.594797227307828e-06,7.196061057309892e-06,-1.8856427580169883e-07,-6.370348787722978e-07,-5.023863114936258e-08,-1.0664703501806522e-08,0.00011839277442303,0.00010566776464509785,1.1205019188182664e-05,6.477034285200248e-06,5.54926721939176e-06,3.360513652822363e-06
24,66.0,Berlin,Woman / Weiblich,Deutsch,1.0,"English(fluent), French (basic),Russian (basic),Basque (basic)",5.0,60.0,Right-handed / Rechtshänder*in,langsam_g_ch2_g4_compr.mp4,ch2g4,4.0,2.0,langsam,langsam_g_ch2,lndw,0.08685205786018206,0.06439565073707434,0.03365530169530595,0.02836375956907188,0.0,0.060721932479705275,4.8104689161947505,5.311464270767527,2.4353335286333153,1941.9507819474354,626.2288195502207,417.20705698137897,459.65949144183236,4.0,12.0,16.0,15.0,6.239443464710197e-05,6.44080855053565e-05,3.669437239928605e-05,4.8746693132767325e-05,7.698302587460865e-08,-5.132612450628508e-09,6.096474892987761e-09,4.919236049792688e-09,5.2012074943632933e-05,5.893647887943536e-05,2.0014878769670284e-05,2.484257653556331e-05,3.1711548393145533e-06,4.510185941751119e-06
