participantID,Age,BirthPlace,Gender,NativeLanguages,NumOfNativeLanguages,Other Languages,TotalLanguages,Extroversion,Hand,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,left_index_space2D,left_wrist_space2D,left_elbow_space2D,total_left_arm_space2D,right_index_space2D,right_wrist_space2D,right_elbow_space2D,total_right_arm_space2D,left_ankle_space2D,left_knee_space2D,left_hip_space2D,total_left_leg_space2D,right_ankle_space2D,right_knee_space2D,right_hip_space2D,total_right_leg_space2D,nose_space2D,total_head_space2D,total_gesture_space2D,right_wrist_entropy2D,left_wrist_entropy2D,right_knee_entropy2D,left_knee_entropy2D,right_ankle_entropy2D,left_ankle_entropy2D,total_body_entropy2D,total_body_entropy2Daggregated,right_wrist_variability2D,left_wrist_variability2D,total_body_variability2D,total_body_variability2Daggregated
52,21.0,Berlin,Man / Männlich,Deutsch,1.0,"Englisch- sehr gut, Italienisch - grundlegend",3.0,53.0,Right-handed / Rechtshänder*in,rennen_g_ch3_g12_compr.mp4,ch3g12,12.0,3.0,rennen,rennen_g_ch3,0.12756928319541683,0.09080359949282256,0.03601894380473694,0.2543918264929763,0.13889062402949487,0.10292001165023029,0.021287996070068198,0.26309863174979337,0.031108917801763475,0.010277198799582679,0.0027128505282880814,0.04409896712963424,0.02369779156575781,0.009989401437949543,0.002663685014144283,0.03635087801785164,0.0,0.0,0.5979403033902556,2.4715752866840783,2.4252902058558576,2.7064654147166385,2.648032191375957,2.4217568799895886,2.24281605625551,14.91593603487763,2.5093156146669253,375.97609590419364,431.483230007585,807.4593259117787,410.19452533049724
23,35.0,Deutschland ,Woman / Weiblich,Deutsch ,1.0,"English (fluent), French (advanced), Italian (beginner)",4.0,43.0,Right-handed / Rechtshänder*in,Donner_g_ch2_g3_compr.mp4,ch2g3,3.0,2.0,Donner,Donner_g_ch2,0.29674966579962575,0.2735468285472849,0.16290022449998204,0.7331967188468926,0.3500070250367946,0.2984857831411165,0.1501265160488446,0.7986193242267557,0.02252549554962445,0.009442688489321472,0.005096488573118725,0.03706467261206464,0.026934283747161707,0.012856604944664098,0.0051238616690466076,0.04491475036087241,0.035434897190780745,0.035434897190780745,1.6492303632373662,2.1338356137456347,1.9318247664341675,2.6278482450805387,2.469158292819861,2.4810035338238308,2.19791494671124,13.841585398615273,2.217183466840702,1366.6666666666636,1018.5622886217951,2385.2289552884586,1069.9024993076182
0,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,0.0,1.0,kalt,kalt_g_ch1,0.16683835705842093,0.14642544880094116,0.0566831905395459,0.369946996398908,0.15910309630710434,0.1389671309567754,0.04969916108614913,0.3477693883500289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717716384748937,2.298834753747002,2.0758440024942093,0.0,0.0,0.0,0.0,4.374678756241211,1.9775376488899203,591.7644676602227,41.57397096415653,633.3384386243793,41.57397096415653
16,27.0,Deutschland,Man / Männlich,Deutsch ,1.0,English,2.0,30.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g16_compr.mp4,ch1g16,16.0,1.0,Donner,Donner_g_ch1,0.20982474629706835,0.18530470346303007,0.09490234776471601,0.49003179752481446,0.19800967013727125,0.17396326345275429,0.08627654741426122,0.45824948100428675,0.012006548748600718,0.008309621379149831,0.0016369155034454638,0.021953085631196013,0.011994359582170027,0.008769995744702032,0.0015931148689406873,0.022357470195812745,0.0,0.0,0.99259183435611,2.5665400102589975,2.369907279426776,2.77142228743176,2.3839410189413446,2.866856822145155,2.857326457294461,15.815993875498494,2.7296302051250643,555.7083123321675,436.28800375694624,991.9963160891136,306.97586566172833
30,45.0,Dresden,Woman / Weiblich,Deutsch,1.0,Englisch,2.0,51.0,Right-handed / Rechtshänder*in,kalt_g_ch2_g10_compr.mp4,ch2g10,10.0,2.0,kalt,kalt_g_ch2,0.14441305674500912,0.13684655829102751,0.08799070495532843,0.36925031999136504,0.16419079235116643,0.13962713055424464,0.06160664206973234,0.3654245649751434,0.033282588878352795,0.020635381727500606,0.003960347000766805,0.05787831760662021,0.03924738696456914,0.026022351588602114,0.003926352541336045,0.06919609109450729,0.018522685617172394,0.018522685617172394,0.8802719792848084,1.9973178518338346,1.7568559902923053,2.3656500381440466,2.2589286077416086,2.5159948142336264,2.369060450016505,13.263807752261926,2.0070703317246603,1027.3968160779418,621.3247495830498,1648.7215656609915,1124.4134273280372
0,,,,,,,,,,rennen_g_ch1_g0_compr.mp4,ch1g0,0.0,1.0,rennen,rennen_g_ch1,0.0779664900286097,0.06897255722308049,0.04801471833625109,0.19495376558794128,0.069705078562339,0.057642159464602286,0.03487328191724094,0.16222051994418224,0.01874407347353637,0.01716083437852423,0.001814077698983601,0.03771898555104421,0.012730042350786572,0.009132774486810883,0.0018893805477598613,0.023752197385357318,0.055295722982405295,0.055295722982405295,0.47394119145093033,2.8560629957486,2.925997708604916,2.746201967066586,2.6256350759634954,2.8905442757953246,2.7967409713938594,16.841182994572783,2.770837946956412,120.46772038736678,102.06207261596487,222.52979300333163,157.54895596409713
37,52.0,Österreich,Woman / Weiblich,"Österreichisch, deutsch",2.0,Englisch (fließend),3.0,74.0,Right-handed / Rechtshänder*in,leise_g_ch2_g17_compr.mp4,ch2g17,17.0,2.0,leise,leise_g_ch2,0.0,0.0,0.0,0.0,0.11846800809950149,0.09625916257823297,0.02405017362957014,0.23877734430730457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23877734430730457,0.6641039504450534,0.0,0.0,0.0,0.0,0.0,0.6641039504450534,0.6748168055540409,2441.6666666666692,0.0,2441.6666666666692,2433.3333333333358
26,,,Woman / Weiblich,,,,,,,kalt_g_ch2_g6_compr.mp4,ch2g6,6.0,2.0,kalt,kalt_g_ch2,0.04090788807776155,0.03884171963936093,0.03243669013829374,0.11218629785541621,0.06414640176463461,0.06084558737773049,0.04133938432550799,0.16633137346787308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2785176713232893,2.271737561634465,2.444281042918669,0.0,0.0,0.0,0.0,4.716018604553135,2.248309322123227,300.9627331288943,249.25925763107088,550.2219907599651,352.6130137984142
5,59.0,Berlin ,Man / Männlich,Deutsch,1.0,Englisch,2.0,66.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g5_compr.mp4,ch1g5,5.0,1.0,Donner,Donner_g_ch1,0.3976999891545374,0.34458872072728575,0.16618739043635383,0.9084761003181769,0.3653233567702921,0.3199866661405715,0.16656347220499268,0.8518734951158562,0.01922620486293687,0.009749453767776615,0.001783913871203099,0.030759572501916584,0.018460392757741785,0.011600582138201738,0.001811048994638302,0.03187202389058183,0.0,0.0,1.8229811918265315,2.384341597145317,2.3873318968127197,2.5099784362578346,2.2471097016134505,2.8227540763072727,2.5789973389040854,14.93051304704068,2.389564538954695,852.8037907722813,1240.4325211417981,2093.2363119140796,1136.564022735985
26,,,Woman / Weiblich,,,,,,,rennen_g_ch2_g6_compr.mp4,ch2g6,6.0,2.0,rennen,rennen_g_ch2,0.11058000512537947,0.08167033355813874,0.01217094293424266,0.20442128161776085,0.09579462808258943,0.06956995004375532,0.012560119975185543,0.1779246981015303,0.01558863467967471,0.007258620972882476,0.0025045519852816547,0.02535180763783884,0.014455106580698875,0.007295918028075237,0.002474937260881845,0.024225961869655956,0.0,0.0,0.431923749226786,2.8252439127755857,2.8684642730839007,2.564747173878155,2.810147083158165,2.687635202095113,2.7385375507800416,16.494775195770963,2.8747045429439857,112.95155559752243,108.51124991458211,221.46280551210452,78.9905448318947
